Saraksts,Partija,Numurs,Vards,Riga,Vidzeme,Latgale,Kurzeme,Zemgale
1,"""Latvijas attīstībai""",92,Armands Vijups,,13,,,
1,"""Latvijas attīstībai""",93,Aiva Vilcāne,,,,2,
1,"""Latvijas attīstībai""",94,Rasma Zaharenko,,,4,,
1,"""Latvijas attīstībai""",95,Kristaps Zaharkevičs,27,,,,
1,"""Latvijas attīstībai""",96,Iveta Zalpētere,3,,,,
1,"""Latvijas attīstībai""",97,Edgars Zandmanis,,,13,,
1,"""Latvijas attīstībai""",98,Vilis Zilgalvis,,,12,,
1,"""Latvijas attīstībai""",99,Armands Zivtiņš,9,,,,
1,"""Latvijas attīstībai""",100,Linda Žukovska,,,,,10
2,"""SUVERENITĀTE""",1,Ilvars Barkāns,,,9,,
2,"""SUVERENITĀTE""",2,Māris Barkāns,13,,,,
2,"""SUVERENITĀTE""",3,Jānis Cīrulis,,8,,,
2,"""SUVERENITĀTE""",4,Dmitrijs Dēliņš,,,,5,
2,"""SUVERENITĀTE""",5,Ivans Feščenko,,,7,,
2,"""SUVERENITĀTE""",6,Artis Freibergs,,3,,,
2,"""SUVERENITĀTE""",7,Sergejs Golodņikovs,12,,,,
2,"""SUVERENITĀTE""",8,Dainis Grabovskis,,,,,1
2,"""SUVERENITĀTE""",9,Sigurds Graudiņš,,,,,4
2,"""SUVERENITĀTE""",10,Inga Gutberga,4,,,,
2,"""SUVERENITĀTE""",11,Aleksandrs Kačalkins,,,,,3
2,"""SUVERENITĀTE""",12,Jeļena Kantāne,6,,,,
2,"""SUVERENITĀTE""",13,Zane Lejniece-Puķe,,6,,,
2,"""SUVERENITĀTE""",14,Raimonds Lejnieks-Puķe,,,,,2
2,"""SUVERENITĀTE""",15,Andrejs Nikoļskis,8,,,,
2,"""SUVERENITĀTE""",16,Andris Orols,1,,,,
2,"""SUVERENITĀTE""",17,Ingars Pētersons,,,2,,
2,"""SUVERENITĀTE""",18,Edgars Poika,9,,,,
2,"""SUVERENITĀTE""",19,Aleksandrs Poika,,4,,,
2,"""SUVERENITĀTE""",20,Tatjana Popova,,,,4,
2,"""SUVERENITĀTE""",21,Artūrs Ratnieks,3,,,,
2,"""SUVERENITĀTE""",22,Žanna Redzoba,,,,,5
2,"""SUVERENITĀTE""",23,Kaspars Savickis,11,,,,
2,"""SUVERENITĀTE""",24,Uldis Sēne,,,,3,
