Saraksts,Partija,Vards,Apgabals,Numurs,Gads,DarbaVieta,Amats
1,Jaunā VIENOTĪBA,Edvīns Kalviņš,Rīga,28,1949,"Kanādas Tirdzniecības Palāta Latvijā""",Valdes loceklis
1,Jaunā VIENOTĪBA,Arturs Krišjānis Kariņš,Vidzeme,1,1964,Valsts kanceleja,Latvijas Republikas Ministru prezidents
1,Jaunā VIENOTĪBA,Inna Kislina,Kurzeme,8,1966,J.Rozentāla Saldus vēstures un mākslas muzejs,Direktora vietniece
1,Jaunā VIENOTĪBA,Nellija Kleinberga,Kurzeme,15,1964,SIA Saldus medicīnas centrs,valdes priekšsēdētāja
1,Jaunā VIENOTĪBA,Sergejs Kovaļovs,Zemgale,12,1975,Latvijas Futbola federācija,Viceprezidents
1,Jaunā VIENOTĪBA,Rihards Kozlovskis,Latgale,1,1969,Latvijas Republikas Saeima,deputāts
1,Jaunā VIENOTĪBA,Agnese Krasta,Rīga,11,1986,"Valsts kanceleja, Ministru prezidenta birojs",Ministru prezidenta padomniece juridiskajos jautājumos
1,Jaunā VIENOTĪBA,Ģirts Valdis Kristovskis,Kurzeme,5,1962,Ventspils brīvostas pārvalde,valdes loceklis
1,Jaunā VIENOTĪBA,Ojārs Krūmiņš,Vidzeme,24,1990,OJC Systems SIA,Vadītājs
1,Jaunā VIENOTĪBA,Atis Labucis,Vidzeme,15,1986,Latvijas Hidroekoloģijas institūts,"Pētnieks, zinātniskais asistents"
1,Jaunā VIENOTĪBA,Edgars Laimiņš,Zemgale,6,1976,Dobeles novada pašvaldība,Domes priekšsēdētāja vietnieks
1,Jaunā VIENOTĪBA,Ainars Latkovskis,Vidzeme,3,1967,Latvijas Republikas Saeima,"Deputāts, frakcijas ""Jaunā Vienotība"" priekšsēdētājs"
1,Jaunā VIENOTĪBA,Jānis Lazdāns,Rīga,27,1972,Polijas - Latvijas tirdzniecības kamera,Valdes priekšsēdētājs
1,Jaunā VIENOTĪBA,Gatis Liepiņš,Rīga,15,1989,Rīgas valstspilsētas pašvaldība,Rīgas domes priekšsēdētāja vietnieka V. Ķirša padomnieks
1,Jaunā VIENOTĪBA,Intars Liepiņš,Vidzeme,23,1982,Gulbenes novada pašvaldība,Gulbenes novada domes deputāts
1,Jaunā VIENOTĪBA,Mārtiņš Limanskis,Zemgale,5,1985,"SIA ""IKU Eduards""",komercdarbības speciālists
1,Jaunā VIENOTĪBA,Inese Lībiņa-Egnere,Rīga,2,1977,Latvijas Republikas Saeima,13. Saeimas deputāte
1,Jaunā VIENOTĪBA,Māris Luste,Rīga,23,1973,Ieslodzījuma vietu pārvalde,ESF projektu vadītājs
1,Jaunā VIENOTĪBA,Edgars Lūks,Kurzeme,12,1988,AE Lux,Valdes loceklis
1,Jaunā VIENOTĪBA,Renārs Manuilovs,Zemgale,14,1983,Bezdarbnieks,
1,Jaunā VIENOTĪBA,Laura Martinova,Rīga,38,1990,Veselības inspekcija,Inspektore
1,Jaunā VIENOTĪBA,Roberts Matulis,Rīga,32,1991,SIA RM DEALS,Valdes priekšsēdētājs
1,Jaunā VIENOTĪBA,Aleksandrs Mironovs,Latgale,14,2000,Vienotības Jaunatnes organizācija,ārlietu sekretārs un valdes loceklis
1,Jaunā VIENOTĪBA,Mārtiņš Neilands,Vidzeme,17,1990,Rīgas Nami,Būvniecības projektu vadītājs
1,Jaunā VIENOTĪBA,Jogita Ozola,Rīga,31,1978,Rīgas domes Pašvaldības ieņēmumu pārvalde,Aprēķināšanas nodaļas Zemgales priekšpilsētas sektora eksperte
1,Jaunā VIENOTĪBA,Ričards Aksels Ozoliņš,Rīga,17,1997,"SIA ""Getliņi EKO""",Ārējās komunikācijas vadītājs
1,Jaunā VIENOTĪBA,Jānis Patmalnieks,Rīga,12,1980,Valsts Kanceleja,Ministru prezidenta Krišjāņa Kariņa biroja vadītājs
1,Jaunā VIENOTĪBA,Jānis Paulovičs,Vidzeme,12,1981,ZS Plakupu,Īpašnieks
1,Jaunā VIENOTĪBA,Dainis Platacis,Latgale,5,1963,Dagdas Kultūras centra Andrupenes Tautas nams,Pasākumu organizators
1,Jaunā VIENOTĪBA,Maruta Plivda,Latgale,4,1970,SIA Latgales Finanšu Konsultācijas,vecākais grāmatvedis-finansists
