Saraksts,Partija,OldNumurs,Ievelets,Vards,Gender,Apgabals,Numurs,Ievelets
1,"""Latvijas attīstībai""",74,false,Dzintars Rozens,Male,Vidzeme,15,false
1,"""Latvijas attīstībai""",75,false,Ilga Sitale,Female,Riga,31,false
1,"""Latvijas attīstībai""",76,false,Renārs Smoļaks,Male,Riga,20,false
1,"""Latvijas attīstībai""",77,false,Pauls Sondors,Male,Vidzeme,8,false
1,"""Latvijas attīstībai""",78,false,Elita Sproģe,Female,Zemgale,3,false
1,"""Latvijas attīstībai""",79,false,Ieva Strongina,Female,Vidzeme,24,false
1,"""Latvijas attīstībai""",80,false,Eduards Sūniņš,Male,Vidzeme,5,false
1,"""Latvijas attīstībai""",81,false,Agnija Šankova,Female,Kurzeme,9,false
1,"""Latvijas attīstībai""",82,false,Juris Šmits,Male,Kurzeme,8,false
1,"""Latvijas attīstībai""",83,false,Rūdolfs Šnepsts,Male,Kurzeme,11,false
1,"""Latvijas attīstībai""",84,false,Toms Šubrovskis,Male,Latgale,10,false
1,"""Latvijas attīstībai""",85,false,Zane Šūmakere,Female,Zemgale,5,false
1,"""Latvijas attīstībai""",86,false,Raitis Tukāns,Male,Latgale,15,false
1,"""Latvijas attīstībai""",87,false,Vilnis Tukums,Male,Kurzeme,13,false
1,"""Latvijas attīstībai""",88,false,Edgars Upenieks,Male,Zemgale,12,false
1,"""Latvijas attīstībai""",89,false,Mārtiņš Vadzis,Male,Zemgale,2,false
1,"""Latvijas attīstībai""",90,false,Sabīne Vārtiņa,Female,Vidzeme,22,false
1,"""Latvijas attīstībai""",91,false,Ksenija Vēze-Veise,Female,Zemgale,11,false
1,"""Latvijas attīstībai""",92,false,Armands Vijups,Male,Vidzeme,13,false
1,"""Latvijas attīstībai""",93,false,Aiva Vilcāne,Female,Kurzeme,2,false
1,"""Latvijas attīstībai""",94,false,Rasma Zaharenko,Female,Latgale,4,false
1,"""Latvijas attīstībai""",95,false,Kristaps Zaharkevičs,Male,Riga,27,false
1,"""Latvijas attīstībai""",96,false,Iveta Zalpētere,Female,Riga,3,false
1,"""Latvijas attīstībai""",97,false,Edgars Zandmanis,Male,Latgale,13,false
1,"""Latvijas attīstībai""",98,false,Vilis Zilgalvis,Male,Latgale,12,false
1,"""Latvijas attīstībai""",99,false,Armands Zivtiņš,Male,Riga,9,false
1,"""Latvijas attīstībai""",100,false,Linda Žukovska,Female,Zemgale,10,false
2,"""SUVERENITĀTE""",1,false,Ilvars Barkāns,Male,Latgale,9,false
2,"""SUVERENITĀTE""",2,false,Māris Barkāns,Male,Riga,13,false
2,"""SUVERENITĀTE""",3,false,Jānis Cīrulis,Male,Vidzeme,8,false
2,"""SUVERENITĀTE""",4,false,Dmitrijs Dēliņš,Male,Kurzeme,5,false
2,"""SUVERENITĀTE""",5,false,Ivans Feščenko,Male,Latgale,7,false
2,"""SUVERENITĀTE""",6,false,Artis Freibergs,Male,Vidzeme,3,false
2,"""SUVERENITĀTE""",7,false,Sergejs Golodņikovs,Male,Riga,12,false
2,"""SUVERENITĀTE""",8,false,Dainis Grabovskis,Male,Zemgale,1,false
2,"""SUVERENITĀTE""",9,false,Sigurds Graudiņš,Male,Zemgale,4,false
2,"""SUVERENITĀTE""",10,false,Inga Gutberga,Female,Riga,4,false
2,"""SUVERENITĀTE""",11,false,Aleksandrs Kačalkins,Male,Zemgale,3,false
2,"""SUVERENITĀTE""",12,false,Jeļena Kantāne,Female,Riga,6,false
2,"""SUVERENITĀTE""",13,false,Zane Lejniece-Puķe,Female,Vidzeme,6,false
2,"""SUVERENITĀTE""",14,false,Raimonds Lejnieks-Puķe,Male,Zemgale,2,false
2,"""SUVERENITĀTE""",15,false,Andrejs Nikoļskis,Male,Riga,8,false
2,"""SUVERENITĀTE""",16,false,Andris Orols,Male,Riga,1,false
2,"""SUVERENITĀTE""",17,false,Ingars Pētersons,Male,Latgale,2,false
2,"""SUVERENITĀTE""",18,false,Edgars Poika,Male,Riga,9,false
2,"""SUVERENITĀTE""",19,false,Aleksandrs Poika,Male,Vidzeme,4,false
2,"""SUVERENITĀTE""",20,false,Tatjana Popova,Female,Kurzeme,4,false
2,"""SUVERENITĀTE""",21,false,Artūrs Ratnieks,Male,Riga,3,false
2,"""SUVERENITĀTE""",22,false,Žanna Redzoba,Female,Zemgale,5,false
2,"""SUVERENITĀTE""",23,false,Kaspars Savickis,Male,Riga,11,false
2,"""SUVERENITĀTE""",24,false,Uldis Sēne,Male,Kurzeme,3,false
2,"""SUVERENITĀTE""",25,false,Artis Silavnieks,Male,Riga,10,false
2,"""SUVERENITĀTE""",26,false,Aleksandra Siliniece,Female,Latgale,4,false
2,"""SUVERENITĀTE""",27,false,Aivars Silinieks,Male,Riga,2,false
2,"""SUVERENITĀTE""",28,false,Georgijs Sokolovskis,Male,Vidzeme,9,false
2,"""SUVERENITĀTE""",29,false,Lita Sproģe,Female,Kurzeme,2,false
2,"""SUVERENITĀTE""",30,false,Ēvalds Staris,Male,Latgale,6,false
2,"""SUVERENITĀTE""",31,false,Maira Stumbre,Female,Riga,7,false
2,"""SUVERENITĀTE""",32,false,Agris Sūna,Male,Vidzeme,2,false
2,"""SUVERENITĀTE""",33,false,Armands Šenbergs,Male,Riga,5,false
2,"""SUVERENITĀTE""",34,false,Kristīne Ševeļova,Female,Zemgale,6,false
2,"""SUVERENITĀTE""",35,false,Jevgēnijs Šuļga,Male,Latgale,5,false
