Saraksts,Partija,Vards,Ievelets,Gender,Apgabals,Numurs,Gads,DarbaVieta,Amats,Ievelets
1,"""Latvijas Krievu savienība""",Aleksandrs Baranovskis,false,Male,Latgale,15,1987,Neatliekamās medicīniskās palīdzības dienests,ārsta palīgs/feldšeris,false
1,"""Latvijas Krievu savienība""",Nataļja Bernatska,false,Female,Kurzeme,8,1990,SIA “Lokis”,menedžere,false
1,"""Latvijas Krievu savienība""",Jeļena Beskorovainaja,false,Female,Zemgale,11,1963,Krievu kopiena „LAD”,Valdes locekle,false
1,"""Latvijas Krievu savienība""",Irina Bobkova,false,Female,Rīga,2,1967,Latvijas Krievu savienība,Valdes locekle,false
1,"""Latvijas Krievu savienība""",Eduards Bonders,false,Male,Vidzeme,8,1979,Paragon offshore,Materiālu un loģistikas koordinators,false
1,"""Latvijas Krievu savienība""",Konstantīns Boroņins,false,Male,Kurzeme,7,1979,"Garāžu īpašnieku kooperatīvā sabiedrība ""Karostas Bāka""",Valdes priekšsēdētājs,false
1,"""Latvijas Krievu savienība""",Vladimirs Buzajevs,false,Male,Rīga,6,1951,Latvijas cilvēktiesību komiteja,līdzpriekšsēdētājs,false
1,"""Latvijas Krievu savienība""",Elīna Čujanova,false,Female,Vidzeme,2,1961,Latvijas Krievu savienība,Valdes locekle,false
1,"""Latvijas Krievu savienība""",Anita Daukšte,false,Female,Latgale,4,1964,SIA ''Ludzas Zeme'',korespondente,false
1,"""Latvijas Krievu savienība""",Inna Djeri,false,Female,Vidzeme,5,1978,SIA Newtown,Valdes priekšsēdētāja,false
1,"""Latvijas Krievu savienība""",Boriss Dmitrijevs,false,Male,Zemgale,17,1934,"Krievu kopiena ""LAD""",Valdes loceklis,false
1,"""Latvijas Krievu savienība""",Tatjana Favorska,false,Female,Rīga,15,1947,Biedrība «Krievu Sabiedrība Latvijā»,Valdes priekšsēdētāja,false
1,"""Latvijas Krievu savienība""",Aleksandrs Filejs,false,Male,Rīga,4,1988,Latvijas Krievu savienība,Valdes loceklis,false
1,"""Latvijas Krievu savienība""",Aleksandrs Gamaļejevs,false,Male,Rīga,8,1961,Rīgas Tehniskā universitāte,Projektu vadītājs,false
