Saraksts,Partija,Numurs,Vards,Apgabals,Rangs
6,"Partija ""Vienoti Latvijai""",36,Česlavs Kaševskis,Riga,24
6,"Partija ""Vienoti Latvijai""",37,Jānis Kazāks,Kurzeme,4
6,"Partija ""Vienoti Latvijai""",38,Edgars Kažoks,Riga,19
6,"Partija ""Vienoti Latvijai""",39,Tatjana Kokina,Latgale,12
6,"Partija ""Vienoti Latvijai""",40,Anita Kokoreviča,Latgale,9
6,"Partija ""Vienoti Latvijai""",41,Arnis Krauklis,Zemgale,6
6,"Partija ""Vienoti Latvijai""",42,Edijs Kriķis,Vidzeme,15
6,"Partija ""Vienoti Latvijai""",43,Evija Krilova,Vidzeme,16
6,"Partija ""Vienoti Latvijai""",44,Jeļena Kuranova,Latgale,5
6,"Partija ""Vienoti Latvijai""",45,Ivars Ķezbers,Vidzeme,12
6,"Partija ""Vienoti Latvijai""",46,Juris Lazdāns,Zemgale,13
6,"Partija ""Vienoti Latvijai""",47,Krists Leiškalns,Vidzeme,26
6,"Partija ""Vienoti Latvijai""",48,Ilona Lejniece,Riga,28
6,"Partija ""Vienoti Latvijai""",49,Ernests Lībietis,Vidzeme,8
6,"Partija ""Vienoti Latvijai""",50,Vahtangs Luašvili,Latgale,15
6,"Partija ""Vienoti Latvijai""",51,Ligita Maģiča,Latgale,10
6,"Partija ""Vienoti Latvijai""",52,Vadims Maļinovskis,Riga,32
6,"Partija ""Vienoti Latvijai""",53,Artūrs Marauskis,Kurzeme,8
6,"Partija ""Vienoti Latvijai""",54,Ainars Melders,Vidzeme,7
6,"Partija ""Vienoti Latvijai""",55,Ineta Muižniece,Vidzeme,13
6,"Partija ""Vienoti Latvijai""",56,Ilgvars Muzikants,Vidzeme,22
6,"Partija ""Vienoti Latvijai""",57,Andrejs Naglis,Latgale,7
6,"Partija ""Vienoti Latvijai""",58,Valērijs Osipovs,Riga,29
6,"Partija ""Vienoti Latvijai""",59,Viktors Ozerskis,Riga,30
6,"Partija ""Vienoti Latvijai""",60,Reinholds Pelše,Vidzeme,25
6,"Partija ""Vienoti Latvijai""",61,Udo Pērsis,Zemgale,7
6,"Partija ""Vienoti Latvijai""",62,Irina Pētersone,Riga,6
6,"Partija ""Vienoti Latvijai""",63,Mihails Pietkevičs,Kurzeme,6
6,"Partija ""Vienoti Latvijai""",64,Andris Pudāns,Riga,11
6,"Partija ""Vienoti Latvijai""",65,Irēna Putiķe,Riga,21
6,"Partija ""Vienoti Latvijai""",66,Jekaterina Pūrīte,Kurzeme,11
6,"Partija ""Vienoti Latvijai""",67,Iveta Raimo,Latgale,14
6,"Partija ""Vienoti Latvijai""",68,Zigurds Rancāns,Zemgale,11
6,"Partija ""Vienoti Latvijai""",69,Jānis Ratnieks,Kurzeme,13
6,"Partija ""Vienoti Latvijai""",70,Dzintra Mirdza Reisa,Kurzeme,2
6,"Partija ""Vienoti Latvijai""",71,Jānis Riežnieks,Kurzeme,9
6,"Partija ""Vienoti Latvijai""",72,Nauris Rolavs,Kurzeme,3
6,"Partija ""Vienoti Latvijai""",73,Agita Roziņa,Riga,12
6,"Partija ""Vienoti Latvijai""",74,Eduards Rubīns,Kurzeme,14
6,"Partija ""Vienoti Latvijai""",75,Imants Silavs,Zemgale,9
6,"Partija ""Vienoti Latvijai""",76,Lilita Siliņa,Vidzeme,19
6,"Partija ""Vienoti Latvijai""",77,Kaspars Sīlis,Vidzeme,18
6,"Partija ""Vienoti Latvijai""",78,Dace Smeltere,Vidzeme,17
6,"Partija ""Vienoti Latvijai""",79,Kristīne Sokolovska,Vidzeme,11
6,"Partija ""Vienoti Latvijai""",80,Gunārs Spradzenko,Latgale,4
6,"Partija ""Vienoti Latvijai""",81,Jevgenija Stalidzāne,Riga,8
6,"Partija ""Vienoti Latvijai""",82,Jānis Straume,Kurzeme,1
6,"Partija ""Vienoti Latvijai""",83,Andrejs Stremjanovs,Latgale,11
6,"Partija ""Vienoti Latvijai""",84,Lelde Sutena,Zemgale,16
6,"Partija ""Vienoti Latvijai""",85,Ainārs Šlesers,Riga,1
6,"Partija ""Vienoti Latvijai""",86,Jevdokija Šlivka,Latgale,8
6,"Partija ""Vienoti Latvijai""",87,Raimonds Šteinerts,Zemgale,12
6,"Partija ""Vienoti Latvijai""",88,Raivis Ūzuls,Vidzeme,6
6,"Partija ""Vienoti Latvijai""",89,Guntars Valants,Vidzeme,21
6,"Partija ""Vienoti Latvijai""",90,Aleksandrs Vasiļjevs,Riga,23
6,"Partija ""Vienoti Latvijai""",91,Oļegs Vasiļonoks,Vidzeme,24
6,"Partija ""Vienoti Latvijai""",92,Vinets Veldre,Zemgale,3
6,"Partija ""Vienoti Latvijai""",93,Raimonds Vilde,Riga,9
6,"Partija ""Vienoti Latvijai""",94,Andulis Vitte,Kurzeme,10
6,"Partija ""Vienoti Latvijai""",95,Daiga Vītola,Vidzeme,14
6,"Partija ""Vienoti Latvijai""",96,Dace Vītola,Riga,10
6,"Partija ""Vienoti Latvijai""",97,Tatjana Volkova,Riga,4
6,"Partija ""Vienoti Latvijai""",98,Vitālijs Zaharovs,Riga,20
6,"Partija ""Vienoti Latvijai""",99,Pāvels Zaicevs,Riga,26
6,"Partija ""Vienoti Latvijai""",100,Edgars Zalāns,Zemgale,2
6,"Partija ""Vienoti Latvijai""",101,Aigars Zariņš,Riga,17
6,"Partija ""Vienoti Latvijai""",102,Rihards Zariņš,Riga,15
6,"Partija ""Vienoti Latvijai""",103,Mareks Zeltiņš,Riga,3
6,"Partija ""Vienoti Latvijai""",104,Arvīds Zvirbulis,Zemgale,5
6,"Partija ""Vienoti Latvijai""",105,Aldis Žaludka,Zemgale,14
6,"Partija ""Vienoti Latvijai""",106,Nils Žuravļovs,Riga,31
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",1,Māris Andžāns,Riga,29
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",2,Marika Berga,Vidzeme,24
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",3,Olga Berga,Riga,22
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",4,Ilze Bertāne,Kurzeme,13
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",5,Gaidis Bērziņš,Kurzeme,1
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",6,Baiba Bicēna,Riga,26
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",7,Raivis Blumfelds,Kurzeme,15
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",8,Juris Bogdanovičs,Riga,12
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",9,Ilona Bremze,Zemgale,12
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",10,Uldis Verners Brūns,Riga,10
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",11,Ivo Brūvers,Latgale,11
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",12,Andris Buiķis,Zemgale,8
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",13,Aldis Bukovskis,Riga,32
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",14,Artūrs Butāns,Kurzeme,14
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",15,Einārs Cilinskis,Riga,3
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",16,Ieva Cīrule,Zemgale,14
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",17,Juris Cīrulis,Zemgale,4
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",18,Jānis Dainis,Vidzeme,12
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",19,Jānis Dombrava,Vidzeme,2
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",20,Kārlis Dombrovskis,Riga,19
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",21,Normunds Duļevskis,Vidzeme,16
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",22,Raivis Dzintars,Vidzeme,1
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",23,Ginta Eglīte,Vidzeme,19
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",24,Laimonis Frīdbergs,Latgale,13
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",25,Inese Gaumane,Vidzeme,25
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",26,Irīna Gedertsone,Vidzeme,20
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",27,Ilmārs Geiba,Latgale,15
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",28,Ainārs Grikmanis,Vidzeme,14
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",29,Gunārs Grīnbergs,Vidzeme,13
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",30,Rūdolfs Grīnblats,Riga,33
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",31,Brigita Gulbe,Latgale,17
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",32,Ieva Holma,Riga,16
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",33,Jānis Iesalnieks,Kurzeme,2
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",34,Gunārs Indārs,Riga,34
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",35,Ilze Indriksone,Kurzeme,16
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",36,Ilvija Jakovina,Vidzeme,18
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",37,Edgars Jansons,Riga,25
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",38,Ritvars Jansons,Riga,14
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",39,Eduards Jurķelis,Riga,27
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",40,Bruno Jurševics,Kurzeme,6
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",41,Daiga Kalnbērziņa,Vidzeme,22
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",42,Imārs Kiršbaums,Riga,21
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",43,Aleksandrs Kiršteins,Riga,6
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",44,Jurģis Klotiņš,Riga,20
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",45,Ingus Kļaviņš,Riga,8
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",46,Rihards Kols,Vidzeme,4
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",47,Aleksandrs Korņilovs,Latgale,9
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",48,Kārlis Krēsliņš,Vidzeme,9
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",49,Uģis Krūmiņš,Riga,35
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",50,Jānis Atis Krūmiņš,Riga,18
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",51,Dzintars Kudums,Kurzeme,3
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",52,Janīna Kursīte-Pakule,Kurzeme,7
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",53,Antons Kursītis,Latgale,3
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",54,Aina Ķīse,Zemgale,16
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",55,Inese Laizāne,Latgale,1
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",56,Ģirts Lapiņš,Riga,11
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",57,Ilmārs Latkovskis,Riga,4
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",58,Santa Laurinoviča,Kurzeme,12
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",59,Andris Lācis,Riga,15
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",60,Gunta Liepiņa,Vidzeme,8
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",61,Dainis Locis,Riga,7
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",62,Irīna Mackus,Vidzeme,28
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",63,Jānis Mājenieks,Vidzeme,15
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",64,Dace Melbārde,Riga,1
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",65,Aija Mežale,Latgale,7
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",66,Dzintars Mozgis,Latgale,4
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",67,Ināra Mūrniece,Vidzeme,3
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",68,Jānis Mūrnieks,Latgale,8
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",69,Inita Nagņibeda,Zemgale,11
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",70,Romāns Naudiņš,Vidzeme,5
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",71,Ivars Nececkis,Riga,31
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",72,Aivars Okmanis,Zemgale,5
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",73,Ieva Ozola,Riga,17
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",74,Ivo Ozols,Riga,28
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",75,Imants Parādnieks,Zemgale,2
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",76,Andris Pastars,Zemgale,15
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",77,Andris Pārups,Riga,9
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",78,Vineta Poriņa,Zemgale,3
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",79,Ieva Preimane,Vidzeme,27
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",80,Arnis Puksts,Riga,24
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",81,Nauris Puntulis,Zemgale,6
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",82,Dzintars Rasnačs,Riga,2
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",83,Anita Ratkeviča,Latgale,16
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",84,Jānis Ratkevičs,Latgale,5
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",85,Edvards Ratnieks,Zemgale,7
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",86,Jānis Rāfelds,Vidzeme,21
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",87,Agris Riba,Zemgale,13
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",88,Dainis Rijkuris,Zemgale,10
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",89,Guntra Riņķe,Kurzeme,9
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",90,Inguna Rībena,Riga,5
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",91,Gunārs Rusiņš,Vidzeme,7
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",92,Kristīna Rūtenberga,Kurzeme,8
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",93,Gundars Sebris,Kurzeme,4
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",94,Aivars Sjademe,Vidzeme,23
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",95,Kristīne Skrīvere,Kurzeme,11
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",96,Kārlis Skujiņš,Vidzeme,26
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",97,Salvis Smukais,Vidzeme,11
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",98,Ludmila Sočņeva,Riga,23
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",99,Gatis Sprūds,Vidzeme,6
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",100,Dainis Svarups,Latgale,14
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",101,Roberts Šlegelmilhs,Zemgale,9
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",102,Edvīns Šnore,Zemgale,1
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",103,Ērika Teirumnieka,Latgale,2
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",104,Jānis Vahers,Latgale,6
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",105,Evija Vaikina,Latgale,12
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",106,Daina Vanaga,Kurzeme,5
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",107,Gundars Važa,Zemgale,17
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",108,Krista Veita,Kurzeme,10
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",109,Artis Vidžups,Riga,30
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",110,Ginta Vilcāne,Latgale,10
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",111,Andris Vilks,Riga,13
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",112,Marika Zeimule,Vidzeme,10
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",113,Raivis Zeltīts,Vidzeme,29
7,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",114,Jana Zilkalne,Vidzeme,17
8,Latvijas Reģionu Apvienība,1,Edgars Abrams,Riga,10
8,Latvijas Reģionu Apvienība,2,Armands Agrums,Riga,5
8,Latvijas Reģionu Apvienība,3,Aldis Alliks,Riga,17
8,Latvijas Reģionu Apvienība,4,Ingrīda Amantova,Vidzeme,8
8,Latvijas Reģionu Apvienība,5,Liene Anševica,Kurzeme,13
8,Latvijas Reģionu Apvienība,6,Juris Apinis,Vidzeme,27
8,Latvijas Reģionu Apvienība,7,Jānis Ābele,Zemgale,8
8,Latvijas Reģionu Apvienība,8,Jānis Ābols,Riga,12
8,Latvijas Reģionu Apvienība,9,Juris Baldiņš,Riga,31
8,Latvijas Reģionu Apvienība,10,Ilona Balode,Vidzeme,18
8,Latvijas Reģionu Apvienība,11,Guntis Bērziņš,Riga,14
8,Latvijas Reģionu Apvienība,12,Aivis Biķernieks,Zemgale,16
8,Latvijas Reģionu Apvienība,13,Guntars Bilsēns,Vidzeme,7
8,Latvijas Reģionu Apvienība,14,Inita Bišofa,Kurzeme,2
8,Latvijas Reģionu Apvienība,15,Inga Bite,Riga,3
8,Latvijas Reģionu Apvienība,16,Kārlis Boitmanis,Riga,22
8,Latvijas Reģionu Apvienība,17,Mārtiņš Bondars,Vidzeme,1
8,Latvijas Reģionu Apvienība,18,Ivars Brīvers,Riga,15
8,Latvijas Reģionu Apvienība,19,Inese Caunīte,Zemgale,13
8,Latvijas Reģionu Apvienība,20,Velta Cimdiņa,Riga,24
8,Latvijas Reģionu Apvienība,21,Gunda Cīrule,Zemgale,12
8,Latvijas Reģionu Apvienība,22,Inese Čača,Riga,26
8,Latvijas Reģionu Apvienība,23,Aleksandrs Dementjevs,Riga,7
8,Latvijas Reģionu Apvienība,24,Jānis Dinevičs,Latgale,3
8,Latvijas Reģionu Apvienība,25,Jānis Dinne,Riga,18
8,Latvijas Reģionu Apvienība,26,Inga Drele,Latgale,18
8,Latvijas Reģionu Apvienība,27,Juris Dzelme,Riga,33
8,Latvijas Reģionu Apvienība,28,Aivars Fomins,Vidzeme,6
8,Latvijas Reģionu Apvienība,29,Vilis Freimanis,Zemgale,15
8,Latvijas Reģionu Apvienība,30,Gunta Gasūna,Vidzeme,25
8,Latvijas Reģionu Apvienība,31,Guntis Gladkins,Vidzeme,2
8,Latvijas Reģionu Apvienība,32,Leonārija Gudakovska,Zemgale,5
8,Latvijas Reģionu Apvienība,33,Ingars Gusāns,Latgale,7
8,Latvijas Reģionu Apvienība,34,Ingemars Harmsens,Kurzeme,7
8,Latvijas Reģionu Apvienība,35,Aidis Herings,Kurzeme,10
8,Latvijas Reģionu Apvienība,36,Valdis Holbergs,Riga,21
8,Latvijas Reģionu Apvienība,37,Gunārs Igaunis,Latgale,17
8,Latvijas Reģionu Apvienība,38,Sarmīte Janfelde,Riga,23
8,Latvijas Reģionu Apvienība,39,Līvija Jankovska,Latgale,4
8,Latvijas Reģionu Apvienība,40,Gundars Jegors,Riga,32
8,Latvijas Reģionu Apvienība,41,Jānis Jurģelis,Vidzeme,26
8,Latvijas Reģionu Apvienība,42,Arturs Kaimiņš,Riga,35
8,Latvijas Reģionu Apvienība,43,Raimonds Kalniņš,Kurzeme,4
8,Latvijas Reģionu Apvienība,44,Imants Keišs,Riga,29
8,Latvijas Reģionu Apvienība,45,Rolands Keišs,Latgale,9
8,Latvijas Reģionu Apvienība,46,Arvīds Kinstlers,Kurzeme,15
8,Latvijas Reģionu Apvienība,47,Nellija Kleinberga,Kurzeme,1
8,Latvijas Reģionu Apvienība,48,Sergejs Kodors,Latgale,15
8,Latvijas Reģionu Apvienība,49,Anita Kokarēviča,Riga,27
8,Latvijas Reģionu Apvienība,50,Margarita Krauča,Riga,9
8,Latvijas Reģionu Apvienība,51,Zigrīda Krauze,Kurzeme,16
8,Latvijas Reģionu Apvienība,52,Varis Krūmiņš,Vidzeme,29
8,Latvijas Reģionu Apvienība,53,Augusts Kūravs,Riga,13
8,Latvijas Reģionu Apvienība,54,Aldis Lazda,Zemgale,10
8,Latvijas Reģionu Apvienība,55,Dzintars Legzdiņš,Kurzeme,9
8,Latvijas Reģionu Apvienība,56,Arvis Leinbergs,Kurzeme,11
8,Latvijas Reģionu Apvienība,57,Ilgonis Leišavnieks,Zemgale,3
8,Latvijas Reģionu Apvienība,58,Inta Lemešonoka,Vidzeme,20
8,Latvijas Reģionu Apvienība,59,Juris Levics,Kurzeme,14
8,Latvijas Reģionu Apvienība,60,Dainis Liepiņš,Zemgale,1
8,Latvijas Reģionu Apvienība,61,Andris Liepiņš,Latgale,16
8,Latvijas Reģionu Apvienība,62,Jānis Liepiņš,Vidzeme,23
8,Latvijas Reģionu Apvienība,63,Andris Lubiņš,Riga,16
8,Latvijas Reģionu Apvienība,64,Benita Malatkovska,Riga,25
8,Latvijas Reģionu Apvienība,65,Jānis Mazitāns,Vidzeme,13
8,Latvijas Reģionu Apvienība,66,Normunds Mazūrs,Vidzeme,9
8,Latvijas Reģionu Apvienība,67,Rihards Melgailis,Zemgale,2
8,Latvijas Reģionu Apvienība,68,Inese Navra,Vidzeme,24
8,Latvijas Reģionu Apvienība,69,Aleksandrs Novickis,Zemgale,11
8,Latvijas Reģionu Apvienība,70,Marita Oliņa,Zemgale,14
8,Latvijas Reģionu Apvienība,71,Ieva Margarita Ozola,Riga,20
8,Latvijas Reģionu Apvienība,72,Ilga Ozoliņa,Vidzeme,12
8,Latvijas Reģionu Apvienība,73,Linda Ozoliņa,Vidzeme,21
8,Latvijas Reģionu Apvienība,74,Aigars Ozoliņš,Riga,19
8,Latvijas Reģionu Apvienība,75,Lauris Pastars,Latgale,12
8,Latvijas Reģionu Apvienība,76,Rūdolfs Plēpis,Riga,28
8,Latvijas Reģionu Apvienība,77,Māris Pļaviņš,Vidzeme,10
8,Latvijas Reģionu Apvienība,78,Karina Putniņa,Vidzeme,3
8,Latvijas Reģionu Apvienība,79,Guntis Rasims,Latgale,10
8,Latvijas Reģionu Apvienība,80,Aija Raudiņa,Kurzeme,6
8,Latvijas Reģionu Apvienība,81,Mareks Raups,Riga,8
8,Latvijas Reģionu Apvienība,82,Dagnis Reinsons,Riga,34
8,Latvijas Reģionu Apvienība,83,Kārlis Rimša,Zemgale,6
8,Latvijas Reģionu Apvienība,84,Aivars Ritenieks,Zemgale,17
8,Latvijas Reģionu Apvienība,85,Margots Rotbergs,Riga,11
8,Latvijas Reģionu Apvienība,86,Gints Rožkalns,Vidzeme,16
8,Latvijas Reģionu Apvienība,87,Andris Rubins,Riga,6
8,Latvijas Reģionu Apvienība,88,Silvestrs Rubins,Vidzeme,11
