Saraksts,Partija,Numurs,Vards,Apgabals,Rangs
1,"""Latvijas attīstībai""",89,Mārtiņš Vadzis,Zemgale,2
1,"""Latvijas attīstībai""",90,Sabīne Vārtiņa,Vidzeme,22
1,"""Latvijas attīstībai""",91,Ksenija Vēze-Veise,Zemgale,11
1,"""Latvijas attīstībai""",92,Armands Vijups,Vidzeme,13
1,"""Latvijas attīstībai""",93,Aiva Vilcāne,Kurzeme,2
1,"""Latvijas attīstībai""",94,Rasma Zaharenko,Latgale,4
1,"""Latvijas attīstībai""",95,Kristaps Zaharkevičs,Riga,27
1,"""Latvijas attīstībai""",96,Iveta Zalpētere,Riga,3
1,"""Latvijas attīstībai""",97,Edgars Zandmanis,Latgale,13
1,"""Latvijas attīstībai""",98,Vilis Zilgalvis,Latgale,12
1,"""Latvijas attīstībai""",99,Armands Zivtiņš,Riga,9
1,"""Latvijas attīstībai""",100,Linda Žukovska,Zemgale,10
2,"""SUVERENITĀTE""",1,Ilvars Barkāns,Latgale,9
2,"""SUVERENITĀTE""",2,Māris Barkāns,Riga,13
2,"""SUVERENITĀTE""",3,Jānis Cīrulis,Vidzeme,8
2,"""SUVERENITĀTE""",4,Dmitrijs Dēliņš,Kurzeme,5
2,"""SUVERENITĀTE""",5,Ivans Feščenko,Latgale,7
2,"""SUVERENITĀTE""",6,Artis Freibergs,Vidzeme,3
2,"""SUVERENITĀTE""",7,Sergejs Golodņikovs,Riga,12
2,"""SUVERENITĀTE""",8,Dainis Grabovskis,Zemgale,1
2,"""SUVERENITĀTE""",9,Sigurds Graudiņš,Zemgale,4
2,"""SUVERENITĀTE""",10,Inga Gutberga,Riga,4
2,"""SUVERENITĀTE""",11,Aleksandrs Kačalkins,Zemgale,3
2,"""SUVERENITĀTE""",12,Jeļena Kantāne,Riga,6
2,"""SUVERENITĀTE""",13,Zane Lejniece-Puķe,Vidzeme,6
2,"""SUVERENITĀTE""",14,Raimonds Lejnieks-Puķe,Zemgale,2
2,"""SUVERENITĀTE""",15,Andrejs Nikoļskis,Riga,8
2,"""SUVERENITĀTE""",16,Andris Orols,Riga,1
2,"""SUVERENITĀTE""",17,Ingars Pētersons,Latgale,2
2,"""SUVERENITĀTE""",18,Edgars Poika,Riga,9
2,"""SUVERENITĀTE""",19,Aleksandrs Poika,Vidzeme,4
2,"""SUVERENITĀTE""",20,Tatjana Popova,Kurzeme,4
2,"""SUVERENITĀTE""",21,Artūrs Ratnieks,Riga,3
2,"""SUVERENITĀTE""",22,Žanna Redzoba,Zemgale,5
2,"""SUVERENITĀTE""",23,Kaspars Savickis,Riga,11
2,"""SUVERENITĀTE""",24,Uldis Sēne,Kurzeme,3
2,"""SUVERENITĀTE""",25,Artis Silavnieks,Riga,10
2,"""SUVERENITĀTE""",26,Aleksandra Siliniece,Latgale,4
2,"""SUVERENITĀTE""",27,Aivars Silinieks,Riga,2
2,"""SUVERENITĀTE""",28,Georgijs Sokolovskis,Vidzeme,9
2,"""SUVERENITĀTE""",29,Lita Sproģe,Kurzeme,2
2,"""SUVERENITĀTE""",30,Ēvalds Staris,Latgale,6
2,"""SUVERENITĀTE""",31,Maira Stumbre,Riga,7
2,"""SUVERENITĀTE""",32,Agris Sūna,Vidzeme,2
2,"""SUVERENITĀTE""",33,Armands Šenbergs,Riga,5
2,"""SUVERENITĀTE""",34,Kristīne Ševeļova,Zemgale,6
2,"""SUVERENITĀTE""",35,Jevgēnijs Šuļga,Latgale,5
2,"""SUVERENITĀTE""",36,Ēriks Trukšāns,Latgale,8
2,"""SUVERENITĀTE""",37,Dmitrijs Usins,Latgale,1
2,"""SUVERENITĀTE""",38,Kaspars Vainovskis,Vidzeme,7
2,"""SUVERENITĀTE""",39,Andrejs Vasiļjevs,Latgale,3
2,"""SUVERENITĀTE""",40,Guntra Vīksna,Vidzeme,1
2,"""SUVERENITĀTE""",41,Normunds Vīrs,Kurzeme,1
2,"""SUVERENITĀTE""",42,Andžejs Zdanovičs,Riga,14
2,"""SUVERENITĀTE""",43,Jūlija Ždanova,Vidzeme,5
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",1,Anrijs Aumalis,Riga,1
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",2,Dace Brimerberga,Zemgale,1
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",3,Jeļena Gerasimova,Riga,3
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",4,Ilva Ivaska,Kurzeme,4
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",5,Ieva Kantmane,Vidzeme,1
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",6,Baiba Kņūta,Zemgale,2
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",7,Vika Koha,Vidzeme,2
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",8,Marita Koha,Zemgale,4
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",9,Taiga Lasmane,Kurzeme,1
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",10,Kaspars Lazdāns,Latgale,1
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",11,Anna Naumova,Zemgale,3
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",12,Vizma Petrēvica,Kurzeme,3
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",13,Baiba Stepanova,Riga,4
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",14,Līga Šalma,Latgale,2
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",15,Vilnis Šlars,Riga,2
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",16,Dina Šulca,Vidzeme,3
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",17,Vēsma Švinberga,Kurzeme,5
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",18,Antra Treide,Kurzeme,2
4,"Partija ""VIENOTĪBA""",1,Hosams Abu Meri,Riga,17
4,"Partija ""VIENOTĪBA""",2,Aldis Adamovičs,Latgale,2
4,"Partija ""VIENOTĪBA""",3,Arvils Ašeradens,Vidzeme,8
4,"Partija ""VIENOTĪBA""",4,Solvita Āboltiņa,Kurzeme,1
4,"Partija ""VIENOTĪBA""",5,Alis Balbārzdis,Vidzeme,25
4,"Partija ""VIENOTĪBA""",6,Edvīns Bartkevičs,Vidzeme,10
4,"Partija ""VIENOTĪBA""",7,Lita Beire,Riga,21
4,"Partija ""VIENOTĪBA""",8,Zigfrīds Berezovskis,Riga,30
4,"Partija ""VIENOTĪBA""",9,Aivars Bernāns,Latgale,15
4,"Partija ""VIENOTĪBA""",10,Iveta Blaua,Vidzeme,19
4,"Partija ""VIENOTĪBA""",11,Inesis Boķis,Vidzeme,2
4,"Partija ""VIENOTĪBA""",12,Aivars Broks,Latgale,4
4,"Partija ""VIENOTĪBA""",13,Anna Buša,Riga,22
4,"Partija ""VIENOTĪBA""",14,Krišjānis Bušs,Zemgale,8
4,"Partija ""VIENOTĪBA""",15,Guntis Būmeisters,Kurzeme,13
4,"Partija ""VIENOTĪBA""",16,Lolita Čigāne,Riga,4
4,"Partija ""VIENOTĪBA""",17,Raimonds Čudars,Vidzeme,11
4,"Partija ""VIENOTĪBA""",18,Guntis Čukurs,Kurzeme,14
4,"Partija ""VIENOTĪBA""",19,Ints Dālderis,Kurzeme,2
4,"Partija ""VIENOTĪBA""",20,Vjačeslavs Dombrovskis,Zemgale,3
4,"Partija ""VIENOTĪBA""",21,Vilnis Dragunas,Kurzeme,11
4,"Partija ""VIENOTĪBA""",22,Ina Druviete,Vidzeme,6
4,"Partija ""VIENOTĪBA""",23,Edgars Engīzers,Riga,8
4,"Partija ""VIENOTĪBA""",24,Kārlis Eņģelis,Riga,16
4,"Partija ""VIENOTĪBA""",25,Sarmīte Ēlerte,Riga,10
4,"Partija ""VIENOTĪBA""",26,Renārs Freibergs,Vidzeme,22
4,"Partija ""VIENOTĪBA""",27,Valdis Gavars,Riga,13
4,"Partija ""VIENOTĪBA""",28,Dmitrijs Golubevs,Riga,31
4,"Partija ""VIENOTĪBA""",29,Guntis Grūba,Vidzeme,27
4,"Partija ""VIENOTĪBA""",30,Artis Gustovskis,Kurzeme,6
4,"Partija ""VIENOTĪBA""",31,Astrīda Harju,Vidzeme,17
4,"Partija ""VIENOTĪBA""",32,Bierants Ignāts,Riga,27
4,"Partija ""VIENOTĪBA""",33,Edgars Ikstens,Kurzeme,8
