Vards,Partija,Apgabals,Numurs,Plusi,Minusi,Balsis,Vieta
Ingmārs Līdaka,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Zemgale,3,3 645,1 427,18 236,1
Nataļja Marčenko-Jodko,"Politiskā partija ""Stabilitātei!""",Rīga,2,3 408,258,30 322,3
Linda Matisone,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Kurzeme,2,3 247,1 264,27 312,2
Kaspars Melnis,Zaļo un Zemnieku savienība,Latgale,1,3 308,794,18 671,1
Daiga Mieriņa,Zaļo un Zemnieku savienība,Vidzeme,2,2 084,1 024,32 771,3
Uģis Mitrevics,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Vidzeme,1,8 018,1 451,36 428,2
Ināra Mūrniece,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Rīga,1,5 820,1 794,25 226,1
Antoņina Ņenaševa,"""PROGRESĪVIE""",Rīga,1,5 718,2 303,30 296,3
Jānis Patmalnieks,Jaunā VIENOTĪBA,Rīga,12,1 846,2 096,60 887,9
Ramona Petraviča,LATVIJA PIRMAJĀ VIETĀ,Kurzeme,1,1 664,237,6 334,1
Viktorija Pleškāne,"Politiskā partija ""Stabilitātei!""",Latgale,1,6 860,193,27 301,1
Viktors Pučka,"Politiskā partija ""Stabilitātei!""",Latgale,2,4 770,376,25 028,2
Nauris Puntulis,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Rīga,2,3 674,1 864,23 010,3
Igors Rajevs,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Rīga,3,4 887,1 128,24 272,1
Anna Rancāne,Jaunā VIENOTĪBA,Latgale,2,1 346,627,8 466,2
Leila Rasima,"""PROGRESĪVIE""",Latgale,1,1 014,83,3 666,1
Edgars Rinkēvičs,Jaunā VIENOTĪBA,Rīga,1,35 072,1 090,95 119,1
Harijs Rokpelnis,Zaļo un Zemnieku savienība,Vidzeme,3,2 101,1 055,32 757,4
Aleksejs Rosļikovs,"Politiskā partija ""Stabilitātei!""",Rīga,1,19 428,68,46 532,1
Uģis Rotbergs,Jaunā VIENOTĪBA,Rīga,10,2 288,2 369,61 056,8
Evika Siliņa,Jaunā VIENOTĪBA,Vidzeme,2,4 509,2 154,63 840,3
Jana Simanovska,"""PROGRESĪVIE""",Vidzeme,2,1 615,442,16 764,2
Jānis Skrastiņš,Jaunā VIENOTĪBA,Vidzeme,5,2 558,2 235,61 808,7
Zane Skujiņa,Jaunā VIENOTĪBA,Rīga,13,1 903,1 894,61 146,7
Edvards Smiltēns,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Vidzeme,1,8 079,2 603,38 554,2
Māris Sprindžuks,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Vidzeme,3,4 513,1 449,36 142,3
Andris Sprūds,"""PROGRESĪVIE""",Rīga,3,5 466,608,31 739,1
Ainārs Šlesers,LATVIJA PIRMAJĀ VIETĀ,Rīga,1,16 606,578,41 546,1
Ričards Šlesers,LATVIJA PIRMAJĀ VIETĀ,Vidzeme,16,3 218,614,16 077,1
Didzis Šmits,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Rīga,1,4 061,1 752,22 822,2
Edvīns Šnore,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Zemgale,1,2 910,870,17 722,2
Andris Šuvajevs,"""PROGRESĪVIE""",Rīga,2,4 312,739,30 454,2
Atis Švinka,"""PROGRESĪVIE""",Zemgale,1,868,125,6 351,1
Edgars Tavars,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Zemgale,1,2 783,1 209,17 592,2
Edmunds Teirumnieks,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Latgale,1,1 630,476,7 582,1
Nadežda Tretjakova,"Politiskā partija ""Stabilitātei!""",Latgale,8,4 103,259,24 478,3
Viktors Valainis,Zaļo un Zemnieku savienība,Zemgale,1,7 079,799,31 487,1
Andrejs Vilks,Zaļo un Zemnieku savienība,Rīga,6,1 049,475,16 945,3
Juris Viļums,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Latgale,1,1 611,566,6 738,1
Jānis Vitenbergs,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Zemgale,2,3 673,1 015,18 340,1
Aiva Vīksna,"""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Vidzeme,4,2 026,1 505,33 599,5
Jānis Vucāns,Zaļo un Zemnieku savienība,Kurzeme,2,2 809,691,26 348,3
Agita Zariņa-Stūre,Jaunā VIENOTĪBA,Vidzeme,8,1 711,2 249,60 947,8
Edgars Zelderis,"""PROGRESĪVIE""",Kurzeme,2,1 217,210,6 519,1
Edmunds Zivtiņš,LATVIJA PIRMAJĀ VIETĀ,Zemgale,1,1 365,283,6 958,1
