Saraksts,Partija,Vards,Apgabals,Numurs,Gads,DarbaVieta,Amats
1,"""Latvijas Krievu savienība""",Aleksandrs Baranovskis,Latgale,15,1987,Neatliekamās medicīniskās palīdzības dienests,ārsta palīgs/feldšeris
1,"""Latvijas Krievu savienība""",Nataļja Bernatska,Kurzeme,8,1990,SIA “Lokis”,menedžere
1,"""Latvijas Krievu savienība""",Jeļena Beskorovainaja,Zemgale,11,1963,Krievu kopiena „LAD”,Valdes locekle
1,"""Latvijas Krievu savienība""",Irina Bobkova,Rīga,2,1967,Latvijas Krievu savienība,Valdes locekle
1,"""Latvijas Krievu savienība""",Eduards Bonders,Vidzeme,8,1979,Paragon offshore,Materiālu un loģistikas koordinators
1,"""Latvijas Krievu savienība""",Konstantīns Boroņins,Kurzeme,7,1979,"Garāžu īpašnieku kooperatīvā sabiedrība ""Karostas Bāka""",Valdes priekšsēdētājs
1,"""Latvijas Krievu savienība""",Vladimirs Buzajevs,Rīga,6,1951,Latvijas cilvēktiesību komiteja,līdzpriekšsēdētājs
1,"""Latvijas Krievu savienība""",Elīna Čujanova,Vidzeme,2,1961,Latvijas Krievu savienība,Valdes locekle
1,"""Latvijas Krievu savienība""",Anita Daukšte,Latgale,4,1964,SIA ''Ludzas Zeme'',korespondente
1,"""Latvijas Krievu savienība""",Inna Djeri,Vidzeme,5,1978,SIA Newtown,Valdes priekšsēdētāja
1,"""Latvijas Krievu savienība""",Boriss Dmitrijevs,Zemgale,17,1934,"Krievu kopiena ""LAD""",Valdes loceklis
1,"""Latvijas Krievu savienība""",Tatjana Favorska,Rīga,15,1947,Biedrība «Krievu Sabiedrība Latvijā»,Valdes priekšsēdētāja
1,"""Latvijas Krievu savienība""",Aleksandrs Filejs,Rīga,4,1988,Latvijas Krievu savienība,Valdes loceklis
1,"""Latvijas Krievu savienība""",Aleksandrs Gamaļejevs,Rīga,8,1961,Rīgas Tehniskā universitāte,Projektu vadītājs
1,"""Latvijas Krievu savienība""",Jekaterina Gavrilova,Rīga,13,1997,Mājsaimniece,
1,"""Latvijas Krievu savienība""",Viktors Guščins,Zemgale,2,1958,Latvijas Krievu savienība,Valdes loceklis
1,"""Latvijas Krievu savienība""",Viktors Harlamovs,Rīga,20,1962,Pensionārs/pensionāre,
1,"""Latvijas Krievu savienība""",Vladimirs Hodakovskis,Rīga,18,1940,Baltijas Starptautiskā akadēmija,profesors
1,"""Latvijas Krievu savienība""",Deniss Ignatjevs,Zemgale,5,1987,SIA „Avenija VP”,rezerves daļu menedžeris
1,"""Latvijas Krievu savienība""",Ņina Isačenkova,Rīga,25,1951,"Biedrība ""Kultūras centrs ""Vertman""",direktore
1,"""Latvijas Krievu savienība""",Nazira Iso,Rīga,24,1953,SIA MEPL,Valdes locekle
1,"""Latvijas Krievu savienība""",Viktors Ivančikovs,Zemgale,8,1945,Saimnieciskās darbības veicējs,ārsts
1,"""Latvijas Krievu savienība""",Sofja Ivočkina,Latgale,12,1973,"SIA ""Medikal Plus""",stomatoloģe
1,"""Latvijas Krievu savienība""",Tatjana Jemeļjanova,Rīga,19,1954,Pensionārs/pensionāre,
1,"""Latvijas Krievu savienība""",Natālija Jolkina,Rīga,7,1947,CLSF Latvijas Cilvēktiesību komiteja,līdzpriekšsēdētāja
1,"""Latvijas Krievu savienība""",Viktors Jolkins,Vidzeme,12,1976,Latvijas Jaunatnes klubs,Valdes loceklis
1,"""Latvijas Krievu savienība""",Polina Kamļova,Latgale,7,1987,Vagonu apkopes distance (Rēzeknes VTAP),datu ievades operatore
1,"""Latvijas Krievu savienība""",Aleksandrs Klapins,Vidzeme,3,1965,A/S Valmieras Stikla Šķiedra,Elektronikas inženieris
1,"""Latvijas Krievu savienība""",Sergejs Konstantinovs,Zemgale,7,1976,Morris Line Engineering,Augstsprieguma izolatoru ražošanas inženieris
1,"""Latvijas Krievu savienība""",Elita Kosaka,Kurzeme,1,1960,Saimnieciskās darbības veicēja,Juriste (privātprakse)
1,"""Latvijas Krievu savienība""",Iļja Kozirevs,Rīga,30,1966,SIA Comtel,tehniskais direktors
1,"""Latvijas Krievu savienība""",Jevgeņija Krjukova,Latgale,1,1981,"partija ""Latvijas Krievu savienība""",Valdes locekle
1,"""Latvijas Krievu savienība""",Fjodors Krupenkins,Vidzeme,9,1950,Saldus Tūrisma un sporta centrs,"ansambļa ""Lira"" vadītājs"
1,"""Latvijas Krievu savienība""",Valentīna Kudrjavceva,Zemgale,4,1967,A/S Orbīta,vērtētāja
