Saraksts,Partija,Vards,Apgabals,Numurs,Gads,DarbaVieta,Amats
1,"""Latvijas Krievu savienība""",Nelli Kujavska,Kurzeme,4,1947,Pensionārs/pensionāre,
1,"""Latvijas Krievu savienība""",Aleksandrs Kuzmins,Rīga,3,1984,Eiropas Parlaments,deputāta palīgs
1,"""Latvijas Krievu savienība""",Jeļena Kuzņecova,Zemgale,12,1984,"""Zelta birste""",vadītāja
1,"""Latvijas Krievu savienība""",Andrejs Larionovs,Rīga,28,1971,SIA Lietas MD,noliktavas darbinieks
1,"""Latvijas Krievu savienība""",Sergejs Lavrenovs,Latgale,11,1966,A/S LDZ RSS,atslēdznieks
1,"""Latvijas Krievu savienība""",Valentina Lišeņa,Kurzeme,6,1968,Saimnieciskās darbības veicēja,pašnodarbinātā persona
1,"""Latvijas Krievu savienība""",Tatjana Logačova,Zemgale,16,1962,Universālveikals Aizkraukle,pārdevēja
1,"""Latvijas Krievu savienība""",Aleksandrs Ļivčaks,Latgale,2,1964,Latvijas Krievu savienība,Valdes loceklis
1,"""Latvijas Krievu savienība""",Aleksandrs Malnačs,Rīga,29,1968,Saimnieciskās darbības veicējs,pašnodarbinātā persona
1,"""Latvijas Krievu savienība""",Andrejs Mamikins,Rīga,1,1976,Eiropas Parlaments,deputāts
1,"""Latvijas Krievu savienība""",Ludmila Martinova,Zemgale,14,1976,Saimnieciskās darbības veicēja,pašnodarbinātā persona
1,"""Latvijas Krievu savienība""",Viktors Mišins,Rīga,14,1945,"biedrība ""Mišina Eiropas teātris ""Zelta gailis""",Valdes priekšsēdētājs
1,"""Latvijas Krievu savienība""",Sergejs Muļivanovs,Rīga,26,1967,SIA “RSS.LV”,Valdes loceklis
1,"""Latvijas Krievu savienība""",Viktorija Murina,Rīga,17,1954,Latvijas Krievu savienība,Valdes locekle
1,"""Latvijas Krievu savienība""",Žanna Muzikantova,Kurzeme,2,1967,PKL flote Latvia,dispečere
1,"""Latvijas Krievu savienība""",Oļegs Nikiforovs,Rīga,16,1965,Baltijas starptautiska akadēmija,Asociēta profesora p.i.
1,"""Latvijas Krievu savienība""",Olga Odincova,Zemgale,10,1960,Aizkraukles 1. vidusskola,skolotāja
1,"""Latvijas Krievu savienība""",Andrejs Pagors,Rīga,11,1986,Saimnieciskās darbības veicējs,pašnodarbinātā persona
1,"""Latvijas Krievu savienība""",Valērijs Petrovs,Latgale,8,1965,SIA “Juridiskie darījumi”,Valdes loceklis
1,"""Latvijas Krievu savienība""",Jakovs Pliners,Rīga,5,1946,"Rīgas vispārizglītojošā privātā vidusskola ""Evrika""",direktora vietnieks
1,"""Latvijas Krievu savienība""",Pāvels Prozors,Latgale,16,1960,Latvijas Nacionālā nekustamo īpašumu aģentūra,vecākais sargs
1,"""Latvijas Krievu savienība""",Aleksandrs Prutkovs,Vidzeme,7,1967,Latvijas Krievu savienība,Salaspils nodaļas vadītājs
1,"""Latvijas Krievu savienība""",Olga Raņševa,Latgale,9,1979,Saimnieciskās darbības veicēja,pašnodarbinātā persona
1,"""Latvijas Krievu savienība""",Vano Razmadze,Rīga,21,1970,Latvijas Apvienotā policistu arodbiedrība,jurists
1,"""Latvijas Krievu savienība""",Dmitrijs Ribņikovs,Latgale,6,1977,Latvijas krievu kopienas Daugavpils nodaļa,vadītāja vietnieks
1,"""Latvijas Krievu savienība""",Ludmila Rodionova,Vidzeme,4,1954,Olaines krievu kopiena,Valdes locekle
1,"""Latvijas Krievu savienība""",Arvīds Rubīns,Latgale,10,1958,SIA “Mikor”,būvdarbu vadītājs
1,"""Latvijas Krievu savienība""",Gagiks Sarkisjans,Rīga,23,1955,Pensionārs/pensionāre,
1,"""Latvijas Krievu savienība""",Maksims Savunovs,Rīga,27,1980,SIA 1st Mobile Store,menedžeris
1,"""Latvijas Krievu savienība""",Inna Seļgicka,Latgale,14,1963,"Biedrība ""Eridan""",vaditāja
1,"""Latvijas Krievu savienība""",Ligita Sipko,Zemgale,6,1960,"SIA ,,Jēkabpils Autobusu Parks""",autobusu mazgātāja
1,"""Latvijas Krievu savienība""",Oļegs Sisoļatins,Rīga,10,1959,"SIA ""ALRENT""",Valdes loceklis
1,"""Latvijas Krievu savienība""",Andrejs Smirnovs,Latgale,5,1977,Rēzeknes Slimnīca,Ārsts ginekologs - dzemdību specialists
1,"""Latvijas Krievu savienība""",Andrejs Solopenko,Vidzeme,6,1985,Saimnieciskās darbības veicējs,pašnodarbinātā persona
1,"""Latvijas Krievu savienība""",Sergejs Solovjovs,Latgale,13,1962,Ditton pievadķēžu rūpnīca,brigadieris
1,"""Latvijas Krievu savienība""",Nikolajs Starikovs,Zemgale,9,1980,SIA „DSM Meistari”,Tehniskais direktors
1,"""Latvijas Krievu savienība""",Valerijs Strigins,Vidzeme,10,1948,"MSĢ TSV ""JŪRMALA""",audzinātājs
1,"""Latvijas Krievu savienība""",Dmitrijs Šandibins,Rīga,9,1986,Latvijas Krievu savienība,Valdes loceklis
1,"""Latvijas Krievu savienība""",Tamāra Šustova,Kurzeme,3,1949,Pensionārs/pensionāre,
1,"""Latvijas Krievu savienība""",Ilona Titarenko,Kurzeme,5,1967,"SIA ""Balmonts Tour""",biļešu kases kasiere
1,"""Latvijas Krievu savienība""",Valentīna Tkača,Zemgale,13,1960,Mājsaimniece,
1,"""Latvijas Krievu savienība""",Jekaterīna Tkačuka,Rīga,22,1988,Krievu klubs,Valdes locekle
1,"""Latvijas Krievu savienība""",Andris Tolmačovs,Vidzeme,1,1973,Eiropas Parlaments,deputāta palīgs
1,"""Latvijas Krievu savienība""",Ludmila Ušakova,Zemgale,1,1959,Aizkraukles novada dome,deputāte
1,"""Latvijas Krievu savienība""",Aleksejs Vasiļjevs,Latgale,3,1971,Daugavpils 15.vidusskola,skolotājs
1,"""Latvijas Krievu savienība""",Vjačeslavs Veselovs,Vidzeme,11,1973,Saimnieciskās darbības veicējs,pašnodarbinātā persona
1,"""Latvijas Krievu savienība""",Sergejs Volkovs,Zemgale,3,1967,SIA „Matreks”,šoferis
1,"""Latvijas Krievu savienība""",Andrejs Zujevs,Zemgale,15,1966,Saimnieciskās darbības veicējs,pašnodarbinātā persona
1,"""Latvijas Krievu savienība""",Ļubova Ždanova,Rīga,12,1990,SIA XO.fm Production,Biroja administratore
2,Jaunā konservatīvā partija,Pēteris Aglonietis,Latgale,3,1965,Valsts probācijas dienests,Vecākais probācijas speciālists
2,Jaunā konservatīvā partija,Aiga Aizpuriete,Rīga,27,1973,Bezdarbnieks/bezdarbniece,
2,Jaunā konservatīvā partija,Mārtiņš Aizpurietis,Vidzeme,19,1990,Limbažu novada dome,Deputāts
2,Jaunā konservatīvā partija,Ieva Akuratere,Kurzeme,2,1958,"Dziedātāja, aktrise",
2,Jaunā konservatīvā partija,Edgars Andersons,Zemgale,14,1949,Rīgas Centrālais termināls,Kuģu bīstamo kravu konsultants
2,Jaunā konservatīvā partija,Jānis Auziņš,Latgale,7,1987,"""Līči"" Balvu rajona Kubulu pagasta zemnieku saimniecība",Īpašnieks ar paraksttiesībām
2,Jaunā konservatīvā partija,Marija Balcere,Rīga,7,1946,"""Marija"" SAB",Valdes priekšsēdētāja
2,Jaunā konservatīvā partija,Natālija Balode,Kurzeme,8,1961,Saldus novada pašvaldība,Deputāte
2,Jaunā konservatīvā partija,Dace Austra Balode,Rīga,24,1978,Rīgas centra daiļamatniecības pamatskola,Pagarinātās dienas grupas skolotāja
2,Jaunā konservatīvā partija,Ainars Bašķis,Vidzeme,6,1961,"""Ansters"" SIA",Pārdošanas vadītājs
2,Jaunā konservatīvā partija,Vilis Bārtulis,Rīga,15,1955,Nodrošinājuma valsts aģentūra,Vecākais referents
2,Jaunā konservatīvā partija,Dagmāra Beitnere-Le Galla,Vidzeme,2,1955,Jūrmalas dome,Deputāte
2,Jaunā konservatīvā partija,Māris Beļaunieks,Vidzeme,10,1961,Limbažu novada dome,Deputāts
2,Jaunā konservatīvā partija,Valters Bergs,Vidzeme,18,1978,"""Legatus"" SIA",Valdes loceklis
2,Jaunā konservatīvā partija,Tatjana Bernharde,Vidzeme,9,1971,"""T.B. BIROJS"" SIA",Valdes locekle
2,Jaunā konservatīvā partija,Jānis Bordāns,Vidzeme,1,1967,Rīgas dome,Rīgas domes deputāts
2,Jaunā konservatīvā partija,Ilgvars Brakovskis,Rīga,14,1972,ZTI Aigas Augustovas birojs,Jurists
2,Jaunā konservatīvā partija,Didzis Brants,Latgale,12,1964,"""Prometal Group"" SIA",Tehniskais direktors
2,Jaunā konservatīvā partija,Eduards Brūniņš,Latgale,15,1964,Latvijas Aizsargu organizācija,Valdes loceklis
2,Jaunā konservatīvā partija,Aldis Brūvers,Latgale,9,1958,"""Satina"" SIA","Valdes priekšsēdētājs, rīkotājdirektors"
2,Jaunā konservatīvā partija,Uldis Budriķis,Kurzeme,4,1991,"""Hubbs"" SIA",Valdes priekšsēdētājs
2,Jaunā konservatīvā partija,Aigars Bukšs,Latgale,10,1987,Baltinavas Mūzikas un mākslas skola,Pūšamo instrumentu skolotājs
2,Jaunā konservatīvā partija,Aija Burkevica,Kurzeme,11,1969,Liepājas vakara (maiņu) vidusskola,Skolotāja
2,Jaunā konservatīvā partija,Jānis Butāns,Rīga,8,1978,Centrālā finanšu un līgumu aģentūra,Satiksmes infrastruktūras projektu nodaļas projekta vadītājs
2,Jaunā konservatīvā partija,Jānis Cielēns,Vidzeme,15,1986,Beverīnas novada dome,Deputāts
2,Jaunā konservatīvā partija,Dainis Čapkovskis,Rīga,33,1974,"""Latvijas Neatkarīgo tirgotāju kooperācija"" SIA",Komercdirektors
2,Jaunā konservatīvā partija,Aivars Doļņikovs,Zemgale,15,1964,”Vidzemes būvnieks” SIA,Būvdarbu vadītājs
2,Jaunā konservatīvā partija,Gunita Dzene,Vidzeme,22,1971,Carnikavas novada dome,Deputāte
2,Jaunā konservatīvā partija,Jurģis Dzērve,Vidzeme,26,1989,"""Stokker"" SIA",Tirdzniecības pārstāvis
2,Jaunā konservatīvā partija,Gatis Eglītis,Rīga,2,1978,Eiropas Komisijas Vēlēšanu novērošanas misiju dalībnieks,
2,Jaunā konservatīvā partija,Krišjānis Feldmans,Zemgale,1,1985,Jaunā konservatīvā partija,Valdes loceklis
2,Jaunā konservatīvā partija,Māris Freimanis,Zemgale,7,1987,"""Buki"" Annenieku pagasta zemnieku saimniecība",Īpašnieks
2,Jaunā konservatīvā partija,Inga Gluzda,Kurzeme,3,1970,Jaunā konservatīvā partija,Valdes locekle
2,Jaunā konservatīvā partija,Edmunds Griģis,Latgale,16,1973,"Biedrība ""Demokrātiskie patrioti""",Valdes priekšsēdētāja vietnieks
2,Jaunā konservatīvā partija,Andris Gross,Rīga,18,1979,"""A.Gross creative."" SIA",Valdes loceklis
2,Jaunā konservatīvā partija,Nauris Gūtmanis,Vidzeme,16,1970,Students/studente,
2,Jaunā konservatīvā partija,Sandra Ģeida,Vidzeme,24,1964,"""Studio ABC"" SIA","Valdes locekle, direktore"
2,Jaunā konservatīvā partija,Edgars Horns,Rīga,22,1967,"""Cibus Sanus"" SIA",Valdes loceklis
2,Jaunā konservatīvā partija,Ingrīda Irša-Podkalne,Zemgale,16,1975,"Baldones PII ""Vāverīte""",Skolotāja
2,Jaunā konservatīvā partija,Ivars Joelis,Zemgale,8,1983,"""Ošukalns"" SIA",Prokūrists
2,Jaunā konservatīvā partija,Juris Jurašs,Kurzeme,1,1975,Jaunā konservatīvā partija,Valdes loceklis
2,Jaunā konservatīvā partija,Anželika Jurševica,Latgale,6,1969,Anželikas Jurševicas psihoterapeita privātprakse,Psihoterapeits
2,Jaunā konservatīvā partija,Bruno Jurševics,Kurzeme,5,1962,“TU 176” SIA,Valdes loceklis
2,Jaunā konservatīvā partija,Māris Kaijaks,Rīga,23,1962,"""ZPA"" SIA",Valdes loceklis
2,Jaunā konservatīvā partija,Daiga Kalnbērziņa,Rīga,25,1973,“Latvijas dzelzceļš” VAS,Protokola speciāliste
2,Jaunā konservatīvā partija,Kaspars Kalnmeiers,Rīga,21,1974,"""Latvijas Valsts ceļi"" VAS",Informācijas sistēmu uzturētājs
2,Jaunā konservatīvā partija,Gatis Karlsons,Rīga,31,1975,Latvijas Nacionālais arhīvs,Direktora vietnieks
2,Jaunā konservatīvā partija,Tamāra Kaudze,Kurzeme,9,1977,Dundagas novada pašvaldība,Deputāte
2,Jaunā konservatīvā partija,Andris Kazinovskis,Latgale,2,1959,"""Rātnieki"" Susāju pagasta zemnieku saimniecība","Īpašnieks, zemnieks"
2,Jaunā konservatīvā partija,Edgars Kāpa,Rīga,29,1987,"Celtnieks, jaunais uzņēmējs",
2,Jaunā konservatīvā partija,Jānis Klauze,Vidzeme,7,1975,"""Mundus"" SIA",Valdes loceklis
2,Jaunā konservatīvā partija,Marita Klikiča,Rīga,16,1971,"""Andžeja Grauda bungu skola"" SIA",Juriste
2,Jaunā konservatīvā partija,Jānis Kņazs,Rīga,35,1987,"""Lidosta Rīga"" VAS",Gaisa kuģu apkalpes aģents
2,Jaunā konservatīvā partija,Margarita Kolosova,Latgale,17,1978,Pašnodarbinātā,
2,Jaunā konservatīvā partija,Egils Kraulers,Kurzeme,10,1957,Izdienas pensionārs,
2,Jaunā konservatīvā partija,Oskars Kreilis,Kurzeme,7,1980,"""Hornet.lv"" SIA","Valdes priekšsēdētājs, zemes ierīcības inženieris"
2,Jaunā konservatīvā partija,Līva Kreituse,Rīga,12,1987,Satiksmes ministrija,Vecākais referents
2,Jaunā konservatīvā partija,Ilona Krūmiņa,Vidzeme,23,1970,Biedrība “Sabiedrības izaugsmei”,Valdes priekšsēdētāja
2,Jaunā konservatīvā partija,Andis Kursītis,Zemgale,6,1981,“Latvijas Lauku konsultāciju un izglītības centrs” SIA,Tālākizglītības nodaļas vadītājs
2,Jaunā konservatīvā partija,Henrijs Ķeružis,Kurzeme,13,1968,Gramzdas pamatskola,Direktors
2,Jaunā konservatīvā partija,Haralds Laidiņš,Zemgale,3,1961,Izdienas pensionārs,
2,Jaunā konservatīvā partija,Līga Langrate,Vidzeme,12,1969,Alūksnes novada dome,Deputāte
2,Jaunā konservatīvā partija,Uldis Lejava,Zemgale,13,1973,"""Latvijas valsts meži"" AS",Drošības un kontroles speciālists
2,Jaunā konservatīvā partija,Inese Leoho-Čudare,Zemgale,12,1981,"""A.C./D.C."" SIA",Komercdirektore
2,Jaunā konservatīvā partija,Jānis Liberts,Rīga,32,1981,"""Attīstības finanšu institūcija Altum"" AS",Jurists
2,Jaunā konservatīvā partija,Tālis Linkaits,Rīga,4,1970,Valsts reģionālās attīstības aģentūra,VASAB sekretariāta vadītājs
2,Jaunā konservatīvā partija,Otto Lodiņš,Latgale,14,1969,"""Mērteh"" SIA",Pārdošanas speciālists
2,Jaunā konservatīvā partija,Eva Mārtuža,Rīga,13,1954,Rīgas dome,Rīgas domes deputāte
2,Jaunā konservatīvā partija,Linda Medne,Rīga,6,1968,Latvijas Lauksaimniecības Universitātes Pārtikas tehnoloģijas fakultāte,Docente
2,Jaunā konservatīvā partija,Indars Melzobs,Vidzeme,8,1979,"""Lux Company"" SIA",Prokūrists
2,Jaunā konservatīvā partija,Uldis Meļķisis,Rīga,30,1971,"""Sociovides pētījumi"" SIA",Valdes loceklis
2,Jaunā konservatīvā partija,Anita Muižniece,Vidzeme,5,1987,Daugmales pamatskola,Skolotāja
2,Jaunā konservatīvā partija,Inita Nagņibeda,Zemgale,4,1968,Bauskas novada dome,Deputāte
2,Jaunā konservatīvā partija,Aivars Ontužāns,Vidzeme,11,1956,Jaunpiebalgas vidusskola,Jaunsargu instruktors
2,Jaunā konservatīvā partija,Linda Ozola,Rīga,3,1979,Rīgas Dome,Rīgas domes deputāte
2,Jaunā konservatīvā partija,Jānis Ozols,Rīga,11,1970,"""CONTRACTUS"" SIA",Prokūrists
2,Jaunā konservatīvā partija,Evita Pētersone,Kurzeme,12,1973,“Darba Iespēju Aģentūra” SIA,Valdes locekle
2,Jaunā konservatīvā partija,Normunds Pildiņš,Zemgale,11,1966,"""Iniņi"" SIA",Valdes priekšsēdētājs
2,Jaunā konservatīvā partija,Inese Posse,Rīga,26,1971,Valsts darba inspekcija,Inspektore
2,Jaunā konservatīvā partija,Ivars Puksts,Vidzeme,27,1971,"""Valmieras stikla šķiedra"" AS","Elektriķis, arodkomitejas loceklis"
2,Jaunā konservatīvā partija,Artis Ramutis,Zemgale,10,1979,"""Baltais sniegs"" SIA",Komercobjektu tirdzniecības darījumu vadītājs
2,Jaunā konservatīvā partija,Juris Rancāns,Latgale,5,1977,Valsts ieņēmumu dienests,Vecākais izmeklētājs
2,Jaunā konservatīvā partija,Sandis Riekstiņš,Zemgale,2,1979,"""LIMBAŽU MELIO"" SIA",Valdes loceklis
2,Jaunā konservatīvā partija,Andris Saulītis,Kurzeme,6,1981,Valsts darba inspekcija,"Zemgales Reģionālās VDI vadītājs, galvenais Valsts inspektors"
2,Jaunā konservatīvā partija,Raitis Sijāts,Vidzeme,13,1960,"NVO ""Eiropas kultūras tūrisma tīkls ECTN""",Prezidents
2,Jaunā konservatīvā partija,Jānis Siliņš,Vidzeme,20,1945,Pensionārs/pensionāre,
2,Jaunā konservatīvā partija,Inese Simsone,Rīga,34,1963,“Rīgas Satiksme” Rīgas pašvaldības SIA,Trolejbusu vadītāja
2,Jaunā konservatīvā partija,Dainis Skrūzmanis,Latgale,8,1970,"""SD Finanses"" SIA",Valdes loceklis
2,Jaunā konservatīvā partija,Ivo Skudiķis,Vidzeme,17,1969,"""Provoaktīvs"" SIA",Valdes loceklis
2,Jaunā konservatīvā partija,Edgars Sproģis,Latgale,11,1974,"""Swedbank"" AS",Jurists
2,Jaunā konservatīvā partija,Aija Stepanova,Rīga,28,1979,"Biedrība ""LATVJU PIRTS UN SPA ASOCIĀCIJA""",Valdes locekle
2,Jaunā konservatīvā partija,Igors Stepanovs,Zemgale,9,1964,"Biedrība ""LATVJU PIRTS UN SPA ASOCIĀCIJA""",Valdes loceklis
2,Jaunā konservatīvā partija,Anita Strapcāne,Latgale,4,1960,Balvu Kultūras un atpūtas centrs,Direktore
2,Jaunā konservatīvā partija,Raimonds Strauss,Rīga,36,1966,Raimonds Strauss,Saimnieciskās darbības veicējs
2,Jaunā konservatīvā partija,Ģirts Strazdiņš,Kurzeme,15,1988,"""Strazdins.Legal"" SIA",Valdes loceklis
2,Jaunā konservatīvā partija,Juta Strīķe,Rīga,1,1970,Rīgas dome,Deputāte
2,Jaunā konservatīvā partija,Jānis Strods,Latgale,13,1957,"Biedrība ""AugšDaugava”",Valdes priekšsēdētājs
2,Jaunā konservatīvā partija,Santa Suhaka,Rīga,10,1991,Rīgas dome,Deputātu frakcijas referente
2,Jaunā konservatīvā partija,Anita Svece,Rīga,9,1966,"""Rīgas Austrumu klīniskā universitātes slimnīca"" SIA",Diktofonu centra vadītāja
2,Jaunā konservatīvā partija,Ilga Šuplinska,Latgale,1,1970,Rēzeknes Tehnoloģiju akadēmija,"Profesore, vadošā pētniece"
2,Jaunā konservatīvā partija,Indulis Tupesis,Rīga,38,1951,Pensionārs/pensionāre,
2,Jaunā konservatīvā partija,Arita Ūdre,Rīga,19,1985,Iepirkumu uzraudzības birojs,Administratīvo sodu departamenta direktore
2,Jaunā konservatīvā partija,Guntars Vaivars,Rīga,17,1960,Latvijas Universitāte,"Asociētais profesors, vadošā pētnieka v.i."
2,Jaunā konservatīvā partija,Ilze Vanaga,Zemgale,17,1978,Valsts probācijas dienests,Jūrmalas TSV probācijas speciāliste
2,Jaunā konservatīvā partija,Daina Vanaga,Vidzeme,21,1963,Ieslodzījuma vietu pārvalde,"ESF projekta ""Resocializācijas sistēmas efektivitātes paaugstināšana"" Nr.9.1.3.0/16/I/001 Mācību sistēmas pilnveidošanas bloka vadītāja"
2,Jaunā konservatīvā partija,Santa Vītola,Vidzeme,28,1987,"""BBH Investments"" SIA",Struktūrvienības vadītājas vietniece
2,Jaunā konservatīvā partija,Renārs Volkovs,Zemgale,5,1978,"""Pansija Next Door"" SIA",Valdes loceklis
2,Jaunā konservatīvā partija,Evita Zālīte-Grosa,Vidzeme,3,1969,Rīgas dome,Deputāte
2,Jaunā konservatīvā partija,Ilze Zilgalve,Rīga,20,1970,Latviešu biedrība Beļģijā,Valdes locekle
2,Jaunā konservatīvā partija,Jana Zilkalne,Vidzeme,25,1979,"""IZGLĪTĪBAS UN KULTŪRAS MANTOJUMA ZELTA VĀRTI"" SIA",Valdes priekšsēdētāja
2,Jaunā konservatīvā partija,Reinis Znotiņš,Rīga,5,1992,"""Your Move"" SIA",Rīkotājdirektors
2,Jaunā konservatīvā partija,Dainars Zolmanis,Kurzeme,14,1981,Saldus Cieceres internātpamatskola,"Sporta skolotājs, fizioterapeits"
2,Jaunā konservatīvā partija,Konstantīns Zorins,Rīga,37,1985,"""ZILBER"" SIA",Valdes loceklis
2,Jaunā konservatīvā partija,Lāsma Žagota,Vidzeme,14,1972,Kocēnu novada Jura Neikena Dikļu pamatskola,Direktore
2,Jaunā konservatīvā partija,Normunds Žunna,Vidzeme,4,1962,Jaunā konservatīvā partija,Ētikas komisijas vadītāja vietnieks
3,Rīcības partija,Andrejs Agurejevs,Kurzeme,3,1992,SIA Ekla,Apdares darbinieks
3,Rīcības partija,Aleksandrs Alehnovičs,Latgale,2,1965,SIA Tradestandart,Valdes loceklis
3,Rīcības partija,Rūdolfs Aļkvists,Rīga,25,1964,"SIA ""ACB""",Metinātājs
3,Rīcības partija,Daina Amosova,Latgale,6,1958,Daugavpils bērnu attīstības centrs,Pedagogs
3,Rīcības partija,Guntis Apiņš,Rīga,23,1946,Rīgas dome Satiksmes depataments,"Kontroles dienests, vecākais kontrolieris"
3,Rīcības partija,Zinaida Apreļeva,Rīga,27,1982,"SIA ""COPs""",Iepirkumu speciāliste
3,Rīcības partija,Vitālijs Arsentjevs,Rīga,17,1971,Sia Colorist Baltic,Direktors
3,Rīcības partija,Viktors Austers,Rīga,22,1958,"SIA ""Alpha Security Lat""",Apsargs
3,Rīcības partija,Ēvalds Bobovičs,Zemgale,4,1963,"SIA ""DATO trans""",vaditaijs
3,Rīcības partija,Rudīte Bramane,Kurzeme,7,1956,"SIA ""COPs""",Apsargs
3,Rīcības partija,Roberts Bramanis,Zemgale,5,1956,"SIA ""COPs""",Apsargs
3,Rīcības partija,Vilnis Briedis,Rīga,20,1969,AS LIDO,krāvējs
3,Rīcības partija,Māris Brikmanis,Kurzeme,5,1957,"SIA ""COPs""",Apsargs
3,Rīcības partija,Vjačeslavs Brjankins,Rīga,5,1966,"Biedriba "" Apsaimniekošanas speciālisti""",Biedribas priekšsēdētais
3,Rīcības partija,Aleksejs Čaiko,Vidzeme,11,1978,"ia ""Experts Joint Action""",Valdes loceklis
3,Rīcības partija,Nataļja Dolgušina,Vidzeme,13,1966,"SIA ""MAXIMA""",pardevēja
3,Rīcības partija,Olga Dovāne,Vidzeme,3,1975,"SIA ""Veduko""",Valdes locekle
3,Rīcības partija,Kristīne Dovāne,Rīga,6,1995,"SIA ""VEDUKO""",Menedžeris
3,Rīcības partija,Juris Dzenis,Rīga,14,1954,Latvijas Universitātes,Medicīnas fakultātes pasniedzējs
3,Rīcības partija,Nataļja Fjodorova,Latgale,4,1955,"SIA ""ADR skola""",Direktore
