District,PartyName,PartyNumber,numMales,numFemales,sumPlusesMales,sumMinusesMales,sumPlusesFemales,sumMinusesFemales,totalVoters
Rīga,1. Jaunā VIENOTĪBA,1,25,14,80606,62999,35179,38686,1000
Rīga,3. Zaļo un Zemnieku savienība,3,27,12,22177,12862,8051,5489,1000
Rīga,"8. Politiskā partija ""Stabilitātei!""",8,14,16,50149,3187,36486,3992,1000
Rīga,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",11,28,11,26905,23715,12056,9956,1000
Rīga,12. LATVIJA PIRMAJĀ VIETĀ,12,30,9,53913,19247,12511,6451,1000
Rīga,"15. ""PROGRESĪVIE""",15,22,17,40008,17282,34539,13287,1000
Rīga,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",18,27,12,29033,22742,8831,10956,1000
