District,PartyName,PartyNumber,numMales,numFemales,sumPlusesMales,sumMinusesMales,sumPlusesFemales,sumMinusesFemales,totalVoters
Vidzeme,1. Jaunā VIENOTĪBA,1,18,11,76352,46275,17368,24566,1000
Vidzeme,3. Zaļo un Zemnieku savienība,3,21,8,36075,21649,11021,8069,1000
Vidzeme,"8. Politiskā partija ""Stabilitātei!""",8,8,4,9732,777,6041,383,1000
Vidzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",11,23,6,44941,25845,4414,6360,1000
Vidzeme,12. LATVIJA PIRMAJĀ VIETĀ,12,17,12,15114,6283,12035,4261,1000
Vidzeme,"15. ""PROGRESĪVIE""",15,16,13,15210,6356,10817,5064,1000
Vidzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",18,17,12,42203,29971,12397,18658,1000
