District,PartyName,PartyNumber,numMales,numFemales,sumPlusesMales,sumMinusesMales,sumPlusesFemales,sumMinusesFemales,totalVoters
Zemgale,1. Jaunā VIENOTĪBA,1,11,5,16354,19956,8362,7439,1000
Zemgale,3. Zaļo un Zemnieku savienība,3,10,6,23966,10079,11019,6258,1000
Zemgale,"8. Politiskā partija ""Stabilitātei!""",8,4,4,3176,426,3249,463,1000
Zemgale,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",11,15,1,19800,14563,807,744,1000
Zemgale,12. LATVIJA PIRMAJĀ VIETĀ,12,12,4,6800,3556,1374,1262,1000
Zemgale,"15. ""PROGRESĪVIE""",15,9,7,3624,1587,3047,1270,1000
Zemgale,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",18,10,6,14432,9596,5992,5441,1000
