District,PartyName,PartyNumber,numMales,numFemales,sumPlusesMales,sumMinusesMales,sumPlusesFemales,sumMinusesFemales,totalVoters
Kurzeme,1. Jaunā VIENOTĪBA,1,10,5,14272,13238,9633,6007,1000
Kurzeme,3. Zaļo un Zemnieku savienība,3,11,4,28047,9243,8160,3108,1000
Kurzeme,"8. Politiskā partija ""Stabilitātei!""",8,2,3,1359,83,2022,115,1000
Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",11,9,6,8596,4836,5644,3375,1000
Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,12,8,7,3676,1433,4658,1355,1000
Kurzeme,"15. ""PROGRESĪVIE""",15,9,6,4309,1935,3018,1222,1000
Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",18,11,4,23552,16619,9958,7769,1000
