Apgabals,Struktūrvienība,Party,Name,Gender,Number,Pluses,Minuses
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Filips Dudins,Male,19,793,116
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Tatjana Favorska,Female,20,1082,104
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Viktors Jolkins,Male,21,1002,103
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Ņina Isačenkova,Female,22,797,107
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Vjačeslavs Altuhovs,Male,23,897,112
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Marina Ņepomņaščiha,Female,24,790,106
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Mihails Gončarovs,Male,25,854,90
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Oļegs Orlovs,Male,26,1009,108
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Ņikita Molčanovs,Male,27,833,108
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Regīna Savicka,Female,28,825,114
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Viktors Dergunovs,Male,29,865,92
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Vladimirs Hodakovskis,Male,30,838,111
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Tatjana Jemeļjanova,Female,31,925,102
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Igors Gladkovs,Male,32,810,105
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Oļegs Fjodorovs,Male,33,876,93
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Aleksejs Kurepins,Male,34,746,104
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Rasma Bārbale,Female,35,792,140
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Aleksandrs Tkačovs,Male,36,850,107
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Aleksandrs Giļmans,Male,37,1017,129
Riga,Rīga,"2. ""Latvijas Krievu savienība""",Vladimirs Buzajevs,Male,38,1909,109
Riga,Rīga,3. Zaļo un Zemnieku savienība,Gunārs Kūtris,Male,1,2591,524
Riga,Rīga,3. Zaļo un Zemnieku savienība,Augusts Brigmanis,Male,2,1894,941
Riga,Rīga,3. Zaļo un Zemnieku savienība,Jānis Dinevičs,Male,3,1291,718
Riga,Rīga,3. Zaļo un Zemnieku savienība,Renārs Šķesters-Kambals,Male,4,982,601
Riga,Rīga,3. Zaļo un Zemnieku savienība,Inese Āboliņa,Female,5,1034,526
Riga,Rīga,3. Zaļo un Zemnieku savienība,Andrejs Vilks,Male,6,1049,475
Riga,Rīga,3. Zaļo un Zemnieku savienība,Ilze Sokolovska,Female,7,824,491
Riga,Rīga,3. Zaļo un Zemnieku savienība,Inguna Paredne,Female,8,666,444
Riga,Rīga,3. Zaļo un Zemnieku savienība,Juris Kanels,Male,9,680,464
Riga,Rīga,3. Zaļo un Zemnieku savienība,Māris Tralmaks,Male,10,740,521
Riga,Rīga,3. Zaļo un Zemnieku savienība,Māra Valaka,Female,11,625,446
Riga,Rīga,3. Zaļo un Zemnieku savienība,Reinis Uzulnieks,Male,12,813,415
Riga,Rīga,3. Zaļo un Zemnieku savienība,Jāzeps Janiševs,Male,13,617,431
Riga,Rīga,3. Zaļo un Zemnieku savienība,Māris Pļaviņš,Male,14,752,438
Riga,Rīga,3. Zaļo un Zemnieku savienība,Margarita Krauča,Female,15,672,460
Riga,Rīga,3. Zaļo un Zemnieku savienība,Jānis Kerliņš,Male,16,595,436
Riga,Rīga,3. Zaļo un Zemnieku savienība,Rolands Broks,Male,17,726,426
Riga,Rīga,3. Zaļo un Zemnieku savienība,Igors Meija,Male,18,688,442
Riga,Rīga,3. Zaļo un Zemnieku savienība,Nikolajs Zaičenko,Male,19,737,560
Riga,Rīga,3. Zaļo un Zemnieku savienība,Kārlis Markus,Male,20,624,391
Riga,Rīga,3. Zaļo un Zemnieku savienība,Gunta Brūmane,Female,21,657,440
Riga,Rīga,3. Zaļo un Zemnieku savienība,Dagnis Reinsons,Male,22,587,436
Riga,Rīga,3. Zaļo un Zemnieku savienība,Ronalds Kalniņš,Male,23,658,390
Riga,Rīga,3. Zaļo un Zemnieku savienība,Oskars Mažāns,Male,24,593,394
Riga,Rīga,3. Zaļo un Zemnieku savienība,Māris Dzelzskalns,Male,25,666,384
Riga,Rīga,3. Zaļo un Zemnieku savienība,Jeļena Pundure,Female,26,605,473
Riga,Rīga,3. Zaļo un Zemnieku savienība,Laima Amatniece,Female,27,609,396
Riga,Rīga,3. Zaļo un Zemnieku savienība,Ronalds Pambakers,Male,28,567,420
Riga,Rīga,3. Zaļo un Zemnieku savienība,Gatis Dzērve-Tāluts,Male,29,551,424
Riga,Rīga,3. Zaļo un Zemnieku savienība,Evita Krievāne,Female,30,617,435
Riga,Rīga,3. Zaļo un Zemnieku savienība,Liene Zamazlova-Kazikova,Female,31,586,452
Riga,Rīga,3. Zaļo un Zemnieku savienība,Edgars Arkliņš,Male,32,574,403
Riga,Rīga,3. Zaļo un Zemnieku savienība,Igors Gromovs,Male,33,750,502
Riga,Rīga,3. Zaļo un Zemnieku savienība,Jānis Zvejnieks,Male,34,632,392
Riga,Rīga,3. Zaļo un Zemnieku savienība,Erlends Morozs,Male,35,540,497
Riga,Rīga,3. Zaļo un Zemnieku savienība,Ojārs Čeksters,Male,36,568,411
