Apgabals,Struktūrvienība,Party,Name,Gender,Number,Pluses,Minuses
Kurzeme,Kurzeme,"5. ""SUVERĒNĀ VARA""",Vilnis Kurpe,Male,11,174,75
Kurzeme,Kurzeme,"6. ""Kristīgi Progresīvā Partija""",Aivars Ošenieks,Male,1,25,4
Kurzeme,Kurzeme,"6. ""Kristīgi Progresīvā Partija""",Elita Višņevska,Female,2,13,2
Kurzeme,Kurzeme,"6. ""Kristīgi Progresīvā Partija""",Laima Ošeniece,Female,3,14,5
Kurzeme,Kurzeme,"6. ""Kristīgi Progresīvā Partija""",Romans Moisejevs,Male,4,13,3
Kurzeme,Kurzeme,"6. ""Kristīgi Progresīvā Partija""",Andis Mārtiņš Ošenieks,Male,5,14,3
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Valērijs Agešins,Male,1,1126,54
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Helēna Geriloviča,Female,2,381,86
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Pāvels Sereda,Male,3,384,75
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Gaļina Skorobogatova,Female,4,295,78
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Pāvels Goroškovs,Male,5,214,77
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Kristīna Jablonska,Female,6,191,73
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Sergejs Dikterjovs,Male,7,195,89
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Indulis Jankovskis,Male,8,202,84
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Vitalijs Trusevičs,Male,9,187,115
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Sergejs Galaveckis,Male,10,202,85
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Jekaterina Žeigure,Female,11,161,85
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Artūrs Stepčenko,Male,12,172,84
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Kristīne Kleinšmite,Female,13,166,87
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Gražina Tētiņa,Female,14,146,89
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Anna Vaisjūna,Female,15,178,85
Kurzeme,Kurzeme,"8. Politiskā partija ""Stabilitātei!""",Sanita Petere,Female,1,741,30
Kurzeme,Kurzeme,"8. Politiskā partija ""Stabilitātei!""",Vjačeslavs Ciganovs,Male,2,822,35
Kurzeme,Kurzeme,"8. Politiskā partija ""Stabilitātei!""",Jānis Gaisiņš,Male,3,537,48
Kurzeme,Kurzeme,"8. Politiskā partija ""Stabilitātei!""",Svetlana Jakovicka,Female,4,634,39
Kurzeme,Kurzeme,"8. Politiskā partija ""Stabilitātei!""",Katerina Guzejeva,Female,5,647,46
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Vladislavs Valentins,Male,1,213,7
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Astra Andersone,Female,2,95,6
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Emīlija Seklīte,Female,3,89,6
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Eduards Rēdlihs,Male,4,91,5
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Kaspars Feldmanis,Male,5,88,4
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Jānis Mežciems,Male,6,83,5
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Dainis Grosbahs,Male,7,83,5
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Aija Šmite,Female,8,86,6
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Anita Purgale,Female,9,84,4
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Edgars Spridzāns,Male,10,78,5
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Toms Gailišs,Male,11,73,5
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Austris Kukulis,Male,12,74,5
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Stevens Muižnieks,Male,13,74,5
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Neviens Neviens,Male,14,0,0
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Rainelda Greize,Female,15,78,5
Kurzeme,Kurzeme,"10. Partija ""Vienoti Latvijai""",Madara Gobziņa,Female,1,42,10
Kurzeme,Kurzeme,"10. Partija ""Vienoti Latvijai""",Iveta Kleinberga-Rupaine,Female,2,22,9
Kurzeme,Kurzeme,"10. Partija ""Vienoti Latvijai""",Edgars Auziņš,Male,3,38,8
Kurzeme,Kurzeme,"10. Partija ""Vienoti Latvijai""",Mārtiņš Zeidaks,Male,4,33,8
