Apgabals,Struktūrvienība,Party,Name,Number,Pluses,Minuses
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"5. ""SUVERĒNĀ VARA""",Inga Gluzda,1,2,4
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"5. ""SUVERĒNĀ VARA""",Dāvids Kļaviņš,2,2,4
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"5. ""SUVERĒNĀ VARA""",Oskars Gertners,3,4,4
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"5. ""SUVERĒNĀ VARA""",Jūlija Rjazanova,4,2,4
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"5. ""SUVERĒNĀ VARA""",Jānis Blaus,5,2,4
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"5. ""SUVERĒNĀ VARA""",Egija Romanovska,6,2,4
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"5. ""SUVERĒNĀ VARA""",Sandra Briķe,7,6,1
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"5. ""SUVERĒNĀ VARA""",Juris Brigmanis-Briģis,8,1,4
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"5. ""SUVERĒNĀ VARA""",Sergejs Borisjuks,9,1,5
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"5. ""SUVERĒNĀ VARA""",Gita Priede,10,1,4
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"5. ""SUVERĒNĀ VARA""",Vilnis Kurpe,11,1,4
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"6. ""Kristīgi Progresīvā Partija""",Aivars Ošenieks,1,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"6. ""Kristīgi Progresīvā Partija""",Elita Višņevska,2,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"6. ""Kristīgi Progresīvā Partija""",Laima Ošeniece,3,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"6. ""Kristīgi Progresīvā Partija""",Romans Moisejevs,4,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"6. ""Kristīgi Progresīvā Partija""",Andis Mārtiņš Ošenieks,5,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"7. ""Saskaņa"" sociāldemokrātiskā partija",Valērijs Agešins,1,12,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"7. ""Saskaņa"" sociāldemokrātiskā partija",Helēna Geriloviča,2,2,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"7. ""Saskaņa"" sociāldemokrātiskā partija",Pāvels Sereda,3,5,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"7. ""Saskaņa"" sociāldemokrātiskā partija",Gaļina Skorobogatova,4,3,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"7. ""Saskaņa"" sociāldemokrātiskā partija",Pāvels Goroškovs,5,3,1
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"7. ""Saskaņa"" sociāldemokrātiskā partija",Kristīna Jablonska,6,4,1
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"7. ""Saskaņa"" sociāldemokrātiskā partija",Sergejs Dikterjovs,7,2,1
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"7. ""Saskaņa"" sociāldemokrātiskā partija",Indulis Jankovskis,8,3,1
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"7. ""Saskaņa"" sociāldemokrātiskā partija",Vitalijs Trusevičs,9,3,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"7. ""Saskaņa"" sociāldemokrātiskā partija",Sergejs Galaveckis,10,2,1
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"7. ""Saskaņa"" sociāldemokrātiskā partija",Jekaterina Žeigure,11,2,1
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"7. ""Saskaņa"" sociāldemokrātiskā partija",Artūrs Stepčenko,12,2,1
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"7. ""Saskaņa"" sociāldemokrātiskā partija",Kristīne Kleinšmite,13,2,1
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"7. ""Saskaņa"" sociāldemokrātiskā partija",Gražina Tētiņa,14,2,1
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"7. ""Saskaņa"" sociāldemokrātiskā partija",Anna Vaisjūna,15,2,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"8. Politiskā partija ""Stabilitātei!""",Sanita Petere,1,9,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"8. Politiskā partija ""Stabilitātei!""",Vjačeslavs Ciganovs,2,8,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"8. Politiskā partija ""Stabilitātei!""",Jānis Gaisiņš,3,8,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"8. Politiskā partija ""Stabilitātei!""",Svetlana Jakovicka,4,8,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"8. Politiskā partija ""Stabilitātei!""",Katerina Guzejeva,5,7,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"9. Politiskā partija ""Tautas varas spēks""",Vladislavs Valentins,1,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"9. Politiskā partija ""Tautas varas spēks""",Astra Andersone,2,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"9. Politiskā partija ""Tautas varas spēks""",Emīlija Seklīte,3,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"9. Politiskā partija ""Tautas varas spēks""",Eduards Rēdlihs,4,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"9. Politiskā partija ""Tautas varas spēks""",Kaspars Feldmanis,5,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"9. Politiskā partija ""Tautas varas spēks""",Jānis Mežciems,6,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"9. Politiskā partija ""Tautas varas spēks""",Dainis Grosbahs,7,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"9. Politiskā partija ""Tautas varas spēks""",Aija Šmite,8,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"9. Politiskā partija ""Tautas varas spēks""",Anita Purgale,9,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"9. Politiskā partija ""Tautas varas spēks""",Edgars Spridzāns,10,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"9. Politiskā partija ""Tautas varas spēks""",Toms Gailišs,11,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"9. Politiskā partija ""Tautas varas spēks""",Austris Kukulis,12,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"9. Politiskā partija ""Tautas varas spēks""",Stevens Muižnieks,13,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"9. Politiskā partija ""Tautas varas spēks""",Neviens Neviens,14,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"9. Politiskā partija ""Tautas varas spēks""",Rainelda Greize,15,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"10. Partija ""Vienoti Latvijai""",Madara Gobziņa,1,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"10. Partija ""Vienoti Latvijai""",Iveta Kleinberga-Rupaine,2,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"10. Partija ""Vienoti Latvijai""",Edgars Auziņš,3,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"10. Partija ""Vienoti Latvijai""",Mārtiņš Zeidaks,4,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Ilze Indriksone,1,61,14
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Artūrs Butāns,2,55,8
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Andis Zariņš,3,23,10
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Kristīna Ansone,4,14,13
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Andris Jankovskis,5,40,8
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Normunds Dzintars,6,32,16
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Andis Āboliņš,7,10,12
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Edgars Kronbergs,8,10,13
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Rimants Ziedonis,9,25,18
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Marita Lapa,10,6,16
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Dzintars Rušmanis,11,6,13
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Ina Sila,12,8,16
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Megija Paula Bērziņa,13,8,8
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Baiba Rītere,14,8,19
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Andris Vārpiņš,15,8,11
Kurzeme,576. GROBIŅAS SPORTA CENTRS,12. LATVIJA PIRMAJĀ VIETĀ,Ramona Petraviča,1,16,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,12. LATVIJA PIRMAJĀ VIETĀ,Natālija Magazeina,2,8,1
Kurzeme,576. GROBIŅAS SPORTA CENTRS,12. LATVIJA PIRMAJĀ VIETĀ,Māris Šveiduks,3,18,6
Kurzeme,576. GROBIŅAS SPORTA CENTRS,12. LATVIJA PIRMAJĀ VIETĀ,Sergejs Semenčukovs,4,1,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,12. LATVIJA PIRMAJĀ VIETĀ,Edvīns Krūmiņš,5,4,1
Kurzeme,576. GROBIŅAS SPORTA CENTRS,12. LATVIJA PIRMAJĀ VIETĀ,Egīls Ceiziņš,6,1,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,12. LATVIJA PIRMAJĀ VIETĀ,Liene Zāģere,7,4,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,12. LATVIJA PIRMAJĀ VIETĀ,Kristīne Ķēniņa,8,5,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,12. LATVIJA PIRMAJĀ VIETĀ,Dana Šlesere,9,14,1
Kurzeme,576. GROBIŅAS SPORTA CENTRS,12. LATVIJA PIRMAJĀ VIETĀ,Anželika Molotanova,10,2,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,12. LATVIJA PIRMAJĀ VIETĀ,Aivars Molotanovs,11,2,1
Kurzeme,576. GROBIŅAS SPORTA CENTRS,12. LATVIJA PIRMAJĀ VIETĀ,Eduards Zivtiņš,12,7,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,12. LATVIJA PIRMAJĀ VIETĀ,Aljeta Erdmane,13,2,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,12. LATVIJA PIRMAJĀ VIETĀ,Andris Baumanis,14,5,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,12. LATVIJA PIRMAJĀ VIETĀ,Gatis Rozenfelds,15,4,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,13. Konservatīvie,Krišjānis Feldmans,1,22,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,13. Konservatīvie,Uldis Budriķis,2,12,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,13. Konservatīvie,Santa Suhaka,3,8,4
Kurzeme,576. GROBIŅAS SPORTA CENTRS,13. Konservatīvie,Bruno Jurševics,4,8,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,13. Konservatīvie,Romāns Ernsons,5,6,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,13. Konservatīvie,Juris Orinskis,6,6,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,13. Konservatīvie,Ivo Tikums,7,6,4
Kurzeme,576. GROBIŅAS SPORTA CENTRS,13. Konservatīvie,Maira Kutuļska,8,6,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,13. Konservatīvie,Evita Pētersone,9,6,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,13. Konservatīvie,Anželika Jurševica,10,7,4
Kurzeme,576. GROBIŅAS SPORTA CENTRS,13. Konservatīvie,Andris Saulītis,11,6,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,13. Konservatīvie,Elena Blumberga,12,5,5
Kurzeme,576. GROBIŅAS SPORTA CENTRS,13. Konservatīvie,Kristers Andersons,13,9,6
Kurzeme,576. GROBIŅAS SPORTA CENTRS,13. Konservatīvie,Mārtiņš Štāls,14,8,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,13. Konservatīvie,Sandis Pūce,15,6,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"14. Politiskā partija ""KATRAM UN KATRAI""",Agris Freifalts,1,17,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"14. Politiskā partija ""KATRAM UN KATRAI""",Lāsma Skrābe,2,9,1
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"14. Politiskā partija ""KATRAM UN KATRAI""",Aiva Daukša,3,10,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"14. Politiskā partija ""KATRAM UN KATRAI""",Normunds Skrābe,4,7,1
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"14. Politiskā partija ""KATRAM UN KATRAI""",Evija Kārkliņa,5,8,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"14. Politiskā partija ""KATRAM UN KATRAI""",Jana Sietiņa,6,6,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"14. Politiskā partija ""KATRAM UN KATRAI""",Laura Kontrauska,7,9,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"14. Politiskā partija ""KATRAM UN KATRAI""",Inga Antensone,8,7,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"14. Politiskā partija ""KATRAM UN KATRAI""",Romunds Brālis,9,8,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"14. Politiskā partija ""KATRAM UN KATRAI""",Eleonora Grigāne,10,6,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"14. Politiskā partija ""KATRAM UN KATRAI""",Roberts Brīvlauks,11,6,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"14. Politiskā partija ""KATRAM UN KATRAI""",Kristers Niklāvs Koškins,12,5,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"14. Politiskā partija ""KATRAM UN KATRAI""",Inga Lazarenoka,13,7,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"14. Politiskā partija ""KATRAM UN KATRAI""",Raivis Fricsons,14,7,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"14. Politiskā partija ""KATRAM UN KATRAI""",Ivars Vinters,15,6,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"15. ""PROGRESĪVIE""",Liene Gātere,1,19,1
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"15. ""PROGRESĪVIE""",Edgars Zelderis,2,10,5
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"15. ""PROGRESĪVIE""",Miroslavs Kodis,3,7,5
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"15. ""PROGRESĪVIE""",Marta Kraujiņa,4,10,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"15. ""PROGRESĪVIE""",Ilva Norenberga,5,8,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"15. ""PROGRESĪVIE""",Lauris Pīlēģis,6,6,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"15. ""PROGRESĪVIE""",Ginta Ernštreite,7,7,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"15. ""PROGRESĪVIE""",Kalvis Kalniņš,8,6,6
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"15. ""PROGRESĪVIE""",Dāvis Lodziņš,9,8,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"15. ""PROGRESĪVIE""",Sintija Ozoliņa,10,9,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"15. ""PROGRESĪVIE""",Niks Derums,11,11,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"15. ""PROGRESĪVIE""",Katrīna Vītola,12,8,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"15. ""PROGRESĪVIE""",Māris Meldris,13,4,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"15. ""PROGRESĪVIE""",Jurģis Kūliņš,14,6,4
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"15. ""PROGRESĪVIE""",Andris Diržininks,15,3,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,16. Attīstībai/Par!,Kristaps Eklons,1,19,4
Kurzeme,576. GROBIŅAS SPORTA CENTRS,16. Attīstībai/Par!,Dace Bluķe,2,9,6
Kurzeme,576. GROBIŅAS SPORTA CENTRS,16. Attīstībai/Par!,Ainārs Dimants,3,5,4
Kurzeme,576. GROBIŅAS SPORTA CENTRS,16. Attīstībai/Par!,Uldis Zupa,4,13,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,16. Attīstībai/Par!,Ģirts Jankovskis,5,2,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,16. Attīstībai/Par!,Nora Patmalniece,6,5,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,16. Attīstībai/Par!,Ēriks Lingebērziņš,7,2,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,16. Attīstībai/Par!,Liene Reine-Miteva,8,2,2
Kurzeme,576. GROBIŅAS SPORTA CENTRS,16. Attīstībai/Par!,Gunta Jankovska,9,3,5
Kurzeme,576. GROBIŅAS SPORTA CENTRS,16. Attīstībai/Par!,Reinis Strolis,10,2,3
Kurzeme,576. GROBIŅAS SPORTA CENTRS,16. Attīstībai/Par!,Indra Rassa,11,3,5
Kurzeme,576. GROBIŅAS SPORTA CENTRS,16. Attīstībai/Par!,Nadīna Millere,12,1,5
Kurzeme,576. GROBIŅAS SPORTA CENTRS,16. Attīstībai/Par!,Gatis Nierliņš,13,1,4
Kurzeme,576. GROBIŅAS SPORTA CENTRS,16. Attīstībai/Par!,Aivars Graikstis,14,3,4
Kurzeme,576. GROBIŅAS SPORTA CENTRS,16. Attīstībai/Par!,Jurģis Spulenieks,15,2,4
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"17. ""Apvienība Latvijai""",Guntis Rolis,1,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"17. ""Apvienība Latvijai""",Jānis Gaudiešus,2,1,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"17. ""Apvienība Latvijai""",Egils Matīss Madelis,3,2,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"17. ""Apvienība Latvijai""",Iveta Samiņa,4,1,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"17. ""Apvienība Latvijai""",Armands Bramanis,5,1,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"17. ""Apvienība Latvijai""",Jānis Lesiņš,6,0,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Māris Kučinskis,1,341,157
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Linda Matisone,2,250,77
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Aija Barča,3,163,279
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Edgars Putra,4,279,132
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Aivis Landmanis,5,44,67
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Atis Deksnis,6,234,69
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Krista Vīndedze,7,47,66
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Raivis Kalējs,8,197,58
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Kristīne Niedre-Lathere,9,153,69
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Ainis Stūrmanis,10,42,65
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Valdis Skujiņš,11,114,179
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Māris Dadzis,12,55,61
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Jānis Džeriņš,13,89,71
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Ansis Brūns,14,46,64
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Krists Bergmanis,15,62,71
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"19. Politiskā partija ""Republika""",Ēriks Pucens,1,2,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"19. Politiskā partija ""Republika""",Egils Gusts,2,1,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"19. Politiskā partija ""Republika""",Ilona Lielmane,3,2,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"19. Politiskā partija ""Republika""",Agnese Ziediņa,4,1,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"19. Politiskā partija ""Republika""",Edgars Lielmanis,5,1,1
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"19. Politiskā partija ""Republika""",Inga Zirka,6,2,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"19. Politiskā partija ""Republika""",Ginta Bukāte,7,1,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"19. Politiskā partija ""Republika""",Inese Ozoliņa,8,3,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"19. Politiskā partija ""Republika""",Anda Stiba,9,3,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"19. Politiskā partija ""Republika""",Valdis Grīnfogels,10,1,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"19. Politiskā partija ""Republika""",Matīss Krēže,11,2,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"19. Politiskā partija ""Republika""",Oskars Straume,12,1,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"19. Politiskā partija ""Republika""",Līga Leikarte,13,1,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"19. Politiskā partija ""Republika""",Māra Kūriņa,14,2,0
Kurzeme,576. GROBIŅAS SPORTA CENTRS,"19. Politiskā partija ""Republika""",Uldis Ozoliņš,15,3,0
Kurzeme,577. SAKAS PAGASTA UN PĀVILOSTAS PILSĒTAS APVIENĪBAS PĀRVALDE,1. Jaunā VIENOTĪBA,Arvils Ašeradens,1,41,13
Kurzeme,577. SAKAS PAGASTA UN PĀVILOSTAS PILSĒTAS APVIENĪBAS PĀRVALDE,1. Jaunā VIENOTĪBA,Inga Bērziņa,2,30,18
Kurzeme,577. SAKAS PAGASTA UN PĀVILOSTAS PILSĒTAS APVIENĪBAS PĀRVALDE,1. Jaunā VIENOTĪBA,Guntars Račs,3,28,32
Kurzeme,577. SAKAS PAGASTA UN PĀVILOSTAS PILSĒTAS APVIENĪBAS PĀRVALDE,1. Jaunā VIENOTĪBA,Kārlis Strautiņš,4,11,12
Kurzeme,577. SAKAS PAGASTA UN PĀVILOSTAS PILSĒTAS APVIENĪBAS PĀRVALDE,1. Jaunā VIENOTĪBA,Ģirts Valdis Kristovskis,5,42,16
Kurzeme,577. SAKAS PAGASTA UN PĀVILOSTAS PILSĒTAS APVIENĪBAS PĀRVALDE,1. Jaunā VIENOTĪBA,Ingrīda Circene,6,34,15
Kurzeme,577. SAKAS PAGASTA UN PĀVILOSTAS PILSĒTAS APVIENĪBAS PĀRVALDE,1. Jaunā VIENOTĪBA,Jānis Grahoļskis,7,7,15
Kurzeme,577. SAKAS PAGASTA UN PĀVILOSTAS PILSĒTAS APVIENĪBAS PĀRVALDE,1. Jaunā VIENOTĪBA,Inna Kislina,8,9,17
Kurzeme,577. SAKAS PAGASTA UN PĀVILOSTAS PILSĒTAS APVIENĪBAS PĀRVALDE,1. Jaunā VIENOTĪBA,Andis Bāliņš,9,8,13
Kurzeme,577. SAKAS PAGASTA UN PĀVILOSTAS PILSĒTAS APVIENĪBAS PĀRVALDE,1. Jaunā VIENOTĪBA,Dace Šēle,10,8,12
Kurzeme,577. SAKAS PAGASTA UN PĀVILOSTAS PILSĒTAS APVIENĪBAS PĀRVALDE,1. Jaunā VIENOTĪBA,Andris Jefimovs,11,12,17
Kurzeme,577. SAKAS PAGASTA UN PĀVILOSTAS PILSĒTAS APVIENĪBAS PĀRVALDE,1. Jaunā VIENOTĪBA,Edgars Lūks,12,7,12
Kurzeme,577. SAKAS PAGASTA UN PĀVILOSTAS PILSĒTAS APVIENĪBAS PĀRVALDE,1. Jaunā VIENOTĪBA,Intars Zēns,13,5,16
Kurzeme,577. SAKAS PAGASTA UN PĀVILOSTAS PILSĒTAS APVIENĪBAS PĀRVALDE,1. Jaunā VIENOTĪBA,Māris Rozenbergs,14,8,13
