Apgabals,Struktūrvienība,Party,Name,Number,Pluses,Minuses
Kurzeme,Kurzeme,"6. ""Kristīgi Progresīvā Partija""",Romans Moisejevs,4,13,3
Kurzeme,Kurzeme,"6. ""Kristīgi Progresīvā Partija""",Andis Mārtiņš Ošenieks,5,14,3
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Valērijs Agešins,1,1126,54
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Helēna Geriloviča,2,381,86
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Pāvels Sereda,3,384,75
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Gaļina Skorobogatova,4,295,78
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Pāvels Goroškovs,5,214,77
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Kristīna Jablonska,6,191,73
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Sergejs Dikterjovs,7,195,89
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Indulis Jankovskis,8,202,84
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Vitalijs Trusevičs,9,187,115
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Sergejs Galaveckis,10,202,85
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Jekaterina Žeigure,11,161,85
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Artūrs Stepčenko,12,172,84
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Kristīne Kleinšmite,13,166,87
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Gražina Tētiņa,14,146,89
Kurzeme,Kurzeme,"7. ""Saskaņa"" sociāldemokrātiskā partija",Anna Vaisjūna,15,178,85
Kurzeme,Kurzeme,"8. Politiskā partija ""Stabilitātei!""",Sanita Petere,1,741,30
Kurzeme,Kurzeme,"8. Politiskā partija ""Stabilitātei!""",Vjačeslavs Ciganovs,2,822,35
Kurzeme,Kurzeme,"8. Politiskā partija ""Stabilitātei!""",Jānis Gaisiņš,3,537,48
Kurzeme,Kurzeme,"8. Politiskā partija ""Stabilitātei!""",Svetlana Jakovicka,4,634,39
Kurzeme,Kurzeme,"8. Politiskā partija ""Stabilitātei!""",Katerina Guzejeva,5,647,46
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Vladislavs Valentins,1,213,7
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Astra Andersone,2,95,6
