District,PartyName,PartyNumber,numMales,numFemales,sumPlusesMales,sumMinusesMales,sumPlusesFemales,sumMinusesFemales,totalVoters
Latgale,1. Jaunā VIENOTĪBA,1,9,7,5017,6278,4983,4351,1000
Latgale,3. Zaļo un Zemnieku savienība,3,9,7,14215,7763,10095,6367,1000
Latgale,"8. Politiskā partija ""Stabilitātei!""",8,5,5,18812,1679,23072,1328,1000
Latgale,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",11,9,7,7302,4483,3634,3756,1000
Latgale,12. LATVIJA PIRMAJĀ VIETĀ,12,13,3,9486,4080,2546,970,1000
Latgale,"15. ""PROGRESĪVIE""",15,7,9,1715,721,2849,930,1000
Latgale,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",18,11,5,6533,5306,2215,2287,1000
